Session Marker Log - 2025-05-08 14:05:53
==================================================

Relative Time (s) | Marker
--------------------------------------------------
         0.0000 | 0x0
         0.5034 | 0x1
         0.5064 | 0x2
         2.0619 | 0x4
         4.0664 | 0x1
         4.0694 | 0x2
         8.3902 | 0x1
         8.3947 | 0x2
        10.2779 | 0x5
        12.2825 | 0x1
        12.2886 | 0x2
        16.4348 | 0x1
        16.4378 | 0x2
        18.0782 | 0x5
        20.0797 | 0x1
        20.0843 | 0x2
        23.7814 | 0x1
        23.7875 | 0x2
        24.4731 | 0x4
        26.4808 | 0x1
        26.4838 | 0x2
        28.1531 | 0xa
