Session Marker Log - Subject 007 - PRE Assessment
Date/Time: 2025-07-02 11:19:51
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
       147.1357 | 2
       150.9026 | 3
       153.9858 | 13
       160.3787 | 15
       160.9696 | 2
       165.1203 | 4
       168.1866 | 13
       171.2663 | 14
       171.8534 | 2
       175.7872 | 4
       178.8542 | 13
       181.3322 | 14
       181.9204 | 2
       184.8379 | 3
       187.9213 | 13
       189.6140 | 14
       190.2047 | 2
       193.4550 | 4
       196.5215 | 13
       204.8858 | 14
       205.4722 | 2
       209.2553 | 3
       212.3390 | 13
       215.5075 | 14
       216.0891 | 2
       219.7059 | 3
       222.7895 | 13
       225.9883 | 14
       226.5733 | 2
       229.8905 | 4
       232.9569 | 13
       235.0128 | 14
       235.6068 | 2
       238.8740 | 3
       241.9574 | 13
       243.8021 | 14
       244.3906 | 2
       247.3910 | 4
       250.4573 | 13
       252.6642 | 14
       253.2576 | 2
       256.2915 | 3
       259.3749 | 13
       262.2737 | 14
       262.8581 | 2
       265.8086 | 4
       268.8754 | 13
       270.7498 | 14
       271.3421 | 2
       275.4422 | 4
       278.5090 | 13
       279.4791 | 14
       280.0591 | 2
       282.7429 | 3
       285.8259 | 13
       287.0687 | 14
       287.6598 | 2
       290.8763 | 4
       293.9433 | 13
       295.0964 | 14
       295.6763 | 2
       299.7766 | 3
       302.8603 | 13
       303.9503 | 14
       304.5438 | 2
       308.2109 | 4
       311.2777 | 13
       312.3696 | 14
       312.9610 | 2
       316.2445 | 3
       319.3278 | 13
       320.2359 | 14
       320.8279 | 2
       323.8450 | 4
       326.9114 | 13
       327.6101 | 14
       328.1949 | 2
       331.6289 | 3
       334.7122 | 13
       335.3201 | 14
       335.9122 | 2
       339.0455 | 3
       342.1290 | 13
       343.0968 | 14
       343.6794 | 2
       346.6291 | 4
       349.6962 | 13
       350.6967 | 14
       351.2796 | 2
       354.8632 | 3
       357.9464 | 13
       358.7345 | 14
       359.3477 | 2
       362.8139 | 4
       365.8805 | 13
       366.6387 | 14
       367.2304 | 2
       370.7972 | 4
       373.8639 | 13
       374.5611 | 14
       375.1473 | 2
       378.1979 | 3
       381.2808 | 13
       381.8279 | 14
       382.4147 | 2
       386.2648 | 4
       389.3317 | 13
       390.0888 | 14
       390.6820 | 2
       393.3815 | 3
       396.4652 | 13
       397.7962 | 14
       398.3820 | 2
       401.2989 | 4
       404.3655 | 13
       405.0942 | 14
       405.6825 | 2
       408.8825 | 3
       411.9663 | 13
       412.6341 | 14
       413.2166 | 2
       417.2666 | 3
       420.3500 | 13
       421.8913 | 14
       422.4834 | 2
       426.0167 | 4
       429.0837 | 13
       430.2322 | 14
       430.8170 | 2
       434.3673 | 4
       437.4341 | 13
       438.8878 | 14
       439.4676 | 2
       443.3177 | 3
       446.4012 | 13
       446.9774 | 14
       447.5682 | 2
       451.0516 | 4
       454.1184 | 13
       454.6646 | 14
       455.2519 | 2
       459.2349 | 3
       462.3190 | 13
       462.9286 | 14
       463.5184 | 2
       467.4024 | 3
       470.4858 | 13
       471.2436 | 14
       471.8362 | 2
       475.5198 | 4
       478.5865 | 13
       479.3161 | 14
       479.9029 | 2
       482.8526 | 3
       485.9368 | 13
       486.7829 | 14
       487.3704 | 2
       491.3368 | 4
       494.4038 | 13
       495.1320 | 14
