Session Marker Log - Subject 008 - POST Assessment
Date/Time: 2025-07-04 12:54:07
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        38.9133 | 32
        42.1803 | 48
        45.2470 | 208
        46.1562 | 224
        46.7468 | 32
        49.7975 | 64
        52.8642 | 208
        53.5922 | 224
        54.1812 | 32
        56.9148 | 64
        59.9816 | 208
        60.4090 | 224
        60.9978 | 32
        63.8645 | 48
        66.9318 | 208
        67.9331 | 224
        68.5148 | 32
        72.2321 | 64
        75.2983 | 208
        76.0269 | 224
        76.6154 | 32
        80.3486 | 48
        83.4158 | 208
        84.0570 | 224
        84.6494 | 32
        88.6661 | 48
        91.7329 | 208
        92.2194 | 224
        92.7997 | 32
        96.2167 | 64
        99.2835 | 208
       100.0126 | 240
       100.6003 | 32
       104.2670 | 48
       107.3336 | 208
       108.9958 | 224
       109.5839 | 32
       112.7510 | 64
       115.8176 | 208
       116.8484 | 224
       117.4344 | 32
       120.5685 | 48
       123.6348 | 208
       124.3023 | 224
       124.8850 | 32
       128.9013 | 64
       131.9683 | 208
       133.0900 | 224
       133.6851 | 32
       136.5688 | 64
       139.6357 | 208
       140.3940 | 224
       140.9850 | 32
       144.7527 | 48
       147.8191 | 208
       148.3360 | 224
       148.9197 | 32
       152.2861 | 64
       155.3528 | 208
       156.3854 | 224
       156.9699 | 32
       160.3702 | 48
       163.4368 | 208
       164.4673 | 224
       165.0535 | 32
       168.9539 | 64
       172.0208 | 208
       172.7476 | 224
       173.3375 | 32
       176.2712 | 48
       179.3375 | 208
       179.8553 | 224
       180.4378 | 32
       183.3212 | 64
       186.3877 | 208
       187.5386 | 224
       188.1214 | 32
       191.2882 | 48
       194.3546 | 208
       194.9921 | 224
       195.5718 | 32
       198.6720 | 48
       201.7386 | 208
       202.4657 | 224
       203.0557 | 32
       206.6885 | 64
       209.7557 | 208
       210.4526 | 240
       211.0391 | 32
       214.6056 | 48
       217.6727 | 208
       218.7351 | 224
       219.3230 | 32
       223.4397 | 64
       226.5064 | 208
       227.8116 | 240
       228.4066 | 32
       231.7231 | 64
       234.7906 | 208
       235.4311 | 224
       236.0236 | 32
       239.6406 | 48
       242.7077 | 208
       243.4079 | 224
       243.9906 | 32
       247.5577 | 64
       250.6244 | 208
       251.2019 | 224
       251.7913 | 32
       254.9417 | 48
       258.0085 | 208
       258.7964 | 224
       259.3920 | 32
       262.3915 | 64
       265.4587 | 208
       266.2236 | 224
       266.8088 | 32
       269.7926 | 48
       272.8588 | 208
       273.3469 | 224
       273.9260 | 32
       276.9759 | 48
       280.0427 | 208
       280.5894 | 224
       281.1763 | 32
       284.9766 | 64
       288.0431 | 208
       289.0418 | 224
       289.6267 | 32
       293.7770 | 64
       296.8433 | 208
       298.2943 | 224
       298.8770 | 32
       302.4438 | 48
       305.5110 | 208
       305.8769 | 224
       306.4609 | 32
       310.3778 | 64
       313.4445 | 208
       314.3230 | 224
       314.9111 | 32
       318.0613 | 48
       321.1283 | 208
       325.2015 | 224
       325.7951 | 32
       328.8122 | 48
       331.8787 | 208
       333.0295 | 224
       333.6124 | 32
       337.6959 | 64
       340.7626 | 208
       341.8230 | 224
       342.4127 | 32
       345.7128 | 48
       348.7801 | 208
       349.6881 | 224
       350.2796 | 32
       353.7963 | 64
       356.8637 | 208
       357.7128 | 224
