Session Marker Log - Subject 003 - PRE Assessment
Date/Time: 2025-06-23 21:02:40
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        56.2811 | 2
        59.7315 | 3
        62.7984 | 13
        64.7902 | 15
        65.3819 | 2
        69.0317 | 4
        72.0991 | 13
        73.4028 | 14
        73.9821 | 2
        77.6157 | 4
        80.6825 | 13
        82.2842 | 14
        82.8661 | 2
        86.8827 | 3
        89.9496 | 13
        91.1019 | 14
        91.6831 | 2
        94.8167 | 4
        97.8828 | 13
        99.3954 | 14
        99.9832 | 2
       102.8673 | 3
       105.9338 | 13
       107.0844 | 15
       107.6669 | 2
       111.6011 | 3
       114.6674 | 13
       115.1841 | 14
       115.7676 | 2
       118.5839 | 4
       121.6512 | 13
       123.3743 | 14
       123.9682 | 2
       128.0517 | 3
       131.1185 | 13
       132.8122 | 15
       133.4018 | 2
       136.4019 | 4
       139.4691 | 13
       140.2872 | 14
       140.8687 | 2
       144.5521 | 3
       147.6194 | 13
       148.5295 | 15
       149.1194 | 2
       151.8700 | 4
       154.9363 | 13
       155.4541 | 14
       156.0365 | 2
       159.7866 | 4
       162.8530 | 13
       164.9966 | 14
       165.5866 | 2
       168.9868 | 3
       172.0538 | 13
       173.4463 | 15
       174.0373 | 2
       177.7543 | 4
       180.8207 | 13
       182.1878 | 14
       182.7713 | 2
       186.6380 | 3
       189.7044 | 13
       192.9077 | 14
       193.4881 | 2
       197.3216 | 4
       200.3886 | 13
       201.6288 | 14
       202.2218 | 2
       206.0223 | 3
       209.0895 | 13
       210.3604 | 14
       210.9560 | 2
       214.5062 | 4
       217.5731 | 13
       217.8509 | 15
       218.4399 | 2
       222.4895 | 3
       225.5568 | 13
       226.1645 | 14
       226.7566 | 2
       230.8736 | 3
       233.9403 | 13
       234.5177 | 15
       235.1073 | 2
       237.8408 | 4
       240.9073 | 13
       244.1367 | 15
       244.7246 | 2
       247.7077 | 3
       250.7748 | 13
       252.2557 | 14
       252.8415 | 2
       256.8748 | 4
       259.9419 | 13
       260.7024 | 15
       261.2919 | 2
       264.9924 | 4
       268.0589 | 13
       269.1181 | 14
       269.7088 | 2
       272.6097 | 3
       275.6760 | 13
       276.8257 | 15
       277.4097 | 2
       280.2761 | 4
       283.3435 | 13
       287.4792 | 15
       288.0601 | 2
       291.8435 | 3
       294.9102 | 13
       297.9292 | 15
       298.5104 | 2
       301.8612 | 4
       304.9277 | 13
       307.1353 | 14
       307.7279 | 2
       310.9275 | 3
       313.9947 | 13
       315.0879 | 15
       315.6784 | 2
       318.5284 | 3
       321.5948 | 13
       322.4439 | 14
       323.0281 | 2
       326.8621 | 4
       329.9288 | 13
       330.5979 | 15
       331.1791 | 2
       334.9456 | 4
       338.0123 | 13
       338.6798 | 14
       339.2624 | 2
       342.9296 | 3
       345.9960 | 13
       346.7539 | 15
       347.3463 | 2
       350.9634 | 4
       354.0298 | 13
       354.6361 | 14
       355.2302 | 2
       359.3137 | 3
       362.3807 | 13
       365.7599 | 15
       366.3475 | 2
       369.3475 | 3
       372.4139 | 13
       373.1734 | 14
       373.7640 | 2
       377.4982 | 4
       380.5646 | 13
       381.5048 | 15
       382.0981 | 2
       385.6314 | 3
       388.6987 | 13
       390.9642 | 14
       391.5490 | 2
       394.9653 | 4
       398.0323 | 13
       399.3642 | 15
