Session Marker Log - Subject 001 - POST Assessment
Date/Time: 2025-06-18 16:49:39
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
         0.0010 | 0x0
        16.1186 | 0x2
        19.7845 | 0x3
        22.8016 | 0x6
        25.2850 | 0x7
        25.8013 | 0x2
        29.2351 | 0x4
        32.2528 | 0x6
        33.3861 | 0x7
        33.9026 | 0x2
        37.9185 | 0x4
        40.9364 | 0x6
        42.9028 | 0x7
        43.4194 | 0x2
        46.5368 | 0x3
        49.5536 | 0x6
        50.5527 | 0x7
        51.0700 | 0x2
        54.0536 | 0x4
        57.0701 | 0x6
        58.2196 | 0x7
        58.7370 | 0x2
        62.8373 | 0x3
        65.8542 | 0x6
        67.3040 | 0x7
        67.8201 | 0x2
        71.4879 | 0x3
        74.5042 | 0x6
        75.9550 | 0x8
        76.4711 | 0x2
        80.4048 | 0x4
        83.4217 | 0x6
        85.1888 | 0x7
        85.7054 | 0x2
        89.0553 | 0x3
        92.0716 | 0x6
        93.1723 | 0x7
        93.6888 | 0x2
        97.0220 | 0x4
       100.0388 | 0x6
       101.2563 | 0x7
       101.7716 | 0x2
       105.3391 | 0x3
       108.3553 | 0x6
       110.0059 | 0x7
       110.5234 | 0x2
       114.3230 | 0x4
       117.3402 | 0x6
       118.4399 | 0x7
       118.9566 | 0x2
       121.6401 | 0x4
       124.6574 | 0x6
       126.0565 | 0x7
       126.5743 | 0x2
       129.8404 | 0x3
       132.8577 | 0x6
       134.3235 | 0x7
       134.8412 | 0x2
       138.4240 | 0x4
       141.4411 | 0x6
       142.9084 | 0x7
       143.4247 | 0x2
       146.6586 | 0x3
       149.6743 | 0x6
       151.4923 | 0x7
       152.0085 | 0x2
       155.7420 | 0x4
       158.7593 | 0x6
       159.9754 | 0x7
       160.4918 | 0x2
       164.1926 | 0x3
       167.2090 | 0x6
       168.6094 | 0x7
       169.1262 | 0x2
       172.4598 | 0x4
       175.4767 | 0x6
       176.9595 | 0x7
       177.4770 | 0x2
       180.5089 | 0x3
       183.5266 | 0x6
       185.1108 | 0x8
       185.6269 | 0x2
       189.2432 | 0x3
       192.2610 | 0x6
       193.2431 | 0x7
       193.7611 | 0x2
       197.5106 | 0x4
       200.5278 | 0x6
       201.5107 | 0x7
       202.0282 | 0x2
       204.7448 | 0x3
       207.7617 | 0x6
       209.1276 | 0x7
       209.6453 | 0x2
       213.3118 | 0x4
       216.3285 | 0x6
       217.5286 | 0x7
       218.0456 | 0x2
       221.6625 | 0x4
       224.6790 | 0x6
       226.0126 | 0x7
       226.5293 | 0x2
       229.8126 | 0x3
       232.8288 | 0x6
       234.1119 | 0x7
       234.6289 | 0x2
       238.5630 | 0x4
       241.5802 | 0x6
       243.6633 | 0x7
       244.1800 | 0x2
       247.5127 | 0x3
       250.5294 | 0x6
       251.9304 | 0x7
       252.4474 | 0x2
       255.8142 | 0x4
       258.8307 | 0x6
       260.3144 | 0x7
       260.8304 | 0x2
       264.2971 | 0x3
       267.3144 | 0x6
       268.7145 | 0x7
       269.2304 | 0x2
       272.2640 | 0x3
       275.2807 | 0x6
       276.4986 | 0x7
       277.0148 | 0x2
       280.0318 | 0x4
       283.0486 | 0x6
       284.5652 | 0x7
       285.0824 | 0x2
       287.9327 | 0x4
       290.9491 | 0x6
       292.1655 | 0x7
       292.6815 | 0x2
       296.4497 | 0x3
       299.4657 | 0x6
       301.7166 | 0x7
       302.2319 | 0x2
       305.6161 | 0x4
       308.6330 | 0x6
       309.7832 | 0x7
       310.3003 | 0x2
       313.7165 | 0x3
       316.7337 | 0x6
       318.1338 | 0x7
       318.6507 | 0x2
       321.9668 | 0x3
       324.9835 | 0x6
       326.3508 | 0x7
       326.8673 | 0x2
       329.7345 | 0x4
       332.7513 | 0x6
       334.2683 | 0x7
       334.7844 | 0x2
       338.0177 | 0x3
       341.0341 | 0x6
       342.4345 | 0x7
       342.9513 | 0x2
       345.9521 | 0x4
       348.9688 | 0x6
       351.1188 | 0x7
       351.6203 | 0xa
