Subject,Loss,Accuracy
1,0.614762,0.790698
2,0.563689,0.864865
3,0.756560,0.730769
4,0.797197,0.647727
5,0.658517,0.797619
6,0.776406,0.647727
7,0.654726,0.790698
8,0.791838,0.655556
9,0.900089,0.522727
10,0.727797,0.685714
11,0.584612,0.844444
12,0.761712,0.686047
13,0.636752,0.837838
14,0.584276,0.866667
15,0.654749,0.795455
16,0.540202,0.875000
