channel_name,channel_index,mean_abs_shap
['Oz'],14,0.0017340216002537543
['POz'],43,0.0014535707374807637
['AF8'],56,0.0010887441894961596
['P6'],46,0.0010706140380930863
['P5'],40,0.0010574741448801655
['Cz'],20,0.0010165828144494365
['PO4'],44,0.0009717227989814973
['P8'],17,0.0009157295792665208
['P7'],12,0.0009143757170156192
['P3'],11,0.0008919760496894361
['F8'],26,0.0008908673804445771
['FCz'],59,0.0008856482860593791
['C3'],6,0.0008765335349970346
['PO7'],41,0.0008702533936610385
['O2'],15,0.0008697952614081168
['PO3'],42,0.0008586698605851128
['Fp1'],0,0.0008286582439474947
['FC1'],5,0.0008204927093960563
['F2'],58,0.0007790105321509372
['CP1'],9,0.0007725124146272448
['PO8'],45,0.0007539887155409885
['T8'],22,0.0007406458541854858
['CP2'],19,0.0007322514732938214
['T7'],7,0.000718632792967441
['FC6'],23,0.0007170528514924333
['C2'],52,0.0007078960808781981
['AF7'],28,0.0006857355327605947
['CPz'],48,0.0006776884868925142
['CP3'],38,0.0006646686628245909
['CP6'],18,0.0006617061131894066
['C6'],51,0.0006604013274368604
['F7'],3,0.0006565167536438993
['AF4'],57,0.000648527956108396
['Fp2'],27,0.0006377852106624287
['F6'],55,0.0006335817927495561
['P2'],47,0.0006326366995441277
['P4'],16,0.0006299254168478848
['FT8'],54,0.0006242029021123401
['CP4'],49,0.0006183572867808395
['F1'],31,0.0006125762005315123
['F3'],2,0.0006033247168751961
['F5'],32,0.0006017099918273176
['P1'],39,0.0005976252739143384
['C1'],35,0.0005957003029846605
['Pz'],10,0.0005815541957565564
['CP5'],8,0.0005784585647913152
['TP8'],50,0.0005542396181675068
['FT7'],33,0.0005528023989955631
['AFz'],30,0.0005433334668848325
['C4'],21,0.0005368521265117347
['TP7'],37,0.0005360996497359081
['AF3'],29,0.0005224963696459264
['FC5'],4,0.0005178492724064534
['Fz'],1,0.0005128207416516391
['O1'],13,0.000512482917598389
['FC4'],53,0.0005042913392713295
['F4'],25,0.0004963634177692912
['FC2'],24,0.0004828135223172077
['C5'],36,0.0004596389551036004
['FC3'],34,0.0004495584593043713
