Subject,Loss,Accuracy
1,0.643199,0.755814
2,0.554085,0.864865
3,0.790627,0.705128
4,0.845707,0.602273
5,0.632346,0.821429
6,0.809332,0.670455
7,0.665468,0.790698
8,0.726803,0.722222
9,0.881712,0.568182
10,0.745465,0.685714
11,0.566135,0.877778
12,0.736253,0.686047
