Subject,Loss,Accuracy
1,5.349616,0.777778
2,5.702818,0.888889
3,5.433202,0.666667
4,5.396589,0.888889
5,4.995069,0.833333
6,6.002262,0.722222
7,5.142192,1.000000
8,5.538235,0.777778
9,6.329910,0.388889
10,5.346765,0.888889
11,5.417481,1.000000
12,5.492635,0.888889
13,5.539550,0.833333
14,4.850023,0.888889
15,5.869264,0.722222
16,5.689549,0.888889
17,5.851618,0.666667
18,5.124592,1.000000
19,5.855667,0.722222
20,5.708972,0.722222
21,5.710178,0.722222
21,5.428271,0.611111
22,5.912532,0.777778
23,5.277776,0.722222
24,5.111506,0.888889
25,5.089335,0.777778
26,5.752151,0.777778
27,5.912877,0.722222
28,5.202556,0.944444
29,5.447478,0.777778
30,5.182538,0.833333
31,5.896331,0.722222
32,6.062644,0.666667
33,5.271133,1.000000
