channel_name,channel_index,mean_abs_shap
['P5'],40,2.380622025250913
['F3'],2,1.686847620622889
['C1'],35,1.620243080960059
['PO3'],42,1.5334241502211552
['F7'],3,1.3943844304963802
['FT8'],54,1.3923720631194993
['P8'],17,1.3506470501682148
['FC1'],5,1.3277076268782249
['F5'],32,1.3106315051978932
['P6'],46,1.2012991610817563
['Oz'],14,1.0715490229712128
['CP1'],9,1.0367632459660971
['POz'],43,0.946746643558352
['O1'],13,0.8864190954083582
['O2'],15,0.8490750025186558
['TP7'],37,0.8484486649723904
['CP2'],19,0.7578905210488396
['F4'],25,0.7511071254874773
['FCz'],59,0.6894504354614525
['Pz'],10,0.6606388890070392
['CPz'],48,0.6515315647404183
['F8'],26,0.6501125430489397
['F6'],55,0.615115128107073
['AF8'],56,0.5590459910081851
['CP3'],38,0.5518961422482475
['PO7'],41,0.5061017669207806
['Fz'],1,0.45377693533904423
['CP4'],49,0.45247950746636656
['T8'],22,0.40377127310046357
['C6'],51,0.39606480463860017
['AF7'],28,0.34555215613179174
['FT7'],33,0.32417722033501545
['P2'],47,0.29020941573999154
['TP8'],50,0.27682968824066084
['P3'],11,0.2749401752753843
['CP5'],8,0.2518093833326117
['C3'],6,0.20677420265934496
['FC4'],53,0.2047833960848429
['F2'],58,0.20157755404260014
['CP6'],18,0.17529287699605575
['AF4'],57,0.15772319876268476
['PO8'],45,0.14023498430603296
['F1'],31,0.12250344493505162
['AF3'],29,0.11543197054273349
['Fp2'],27,0.10305809461469129
['P1'],39,0.0917639085661027
['C5'],36,0.05914833327954025
['FC3'],34,0.05891764959189703
['Cz'],20,0.03332503044180374
['P7'],12,0.026878470175587157
['T7'],7,0.01828794335084015
['C2'],52,0.004724087353328222
['FC6'],23,-0.032632118134664705
['C4'],21,-0.047780032697879254
['AFz'],30,-0.056052416519891346
['P4'],16,-0.07043963461246208
['PO4'],44,-0.11452331165597836
['Fp1'],0,-0.11998926902357467
['FC2'],24,-0.23250968897704005
['FC5'],4,-0.279597497189498
