Subject,Loss,Accuracy
1,5.019423,0.888889
2,5.664341,0.833333
3,5.358302,0.722222
4,5.220689,0.888889
5,4.854372,0.888889
6,5.873206,0.722222
7,5.124143,0.944444
8,5.307598,0.944444
9,6.070156,0.500000
10,5.429338,0.777778
11,5.487208,0.833333
12,5.485560,0.833333
13,5.577611,0.722222
14,5.151843,0.833333
15,5.646659,0.722222
16,5.596059,0.944444
17,5.843090,0.666667
18,5.167516,0.888889
19,6.015980,0.722222
20,5.740800,0.611111
21,5.597034,0.777778
21,5.641033,0.500000
22,5.965234,0.833333
23,5.382513,0.722222
24,4.961736,1.000000
25,5.109860,0.777778
26,5.423648,0.666667
27,6.285040,0.722222
28,5.125881,0.944444
29,5.234897,0.833333
30,4.663612,1.000000
31,5.804881,0.777778
32,5.502115,0.833333
33,5.193135,0.944444
