Subject,Loss,Accuracy
1,0.670381,0.790698
2,0.640495,0.815789
3,1.020679,0.646341
4,0.953809,0.693182
5,0.710742,0.761905
6,0.827938,0.727273
7,0.774175,0.732558
8,0.571545,0.888889
9,1.165716,0.545455
10,0.589406,0.871429
11,0.674887,0.855556
12,0.799296,0.720930
13,0.726085,0.806818
14,0.617356,0.855556
15,0.752990,0.761364
16,0.544776,0.909091
17,0.559531,0.875000
18,0.612790,0.833333
19,0.966685,0.674419
20,0.817729,0.722222
21,0.887671,0.763889
22,0.682836,0.800000
23,0.894682,0.647727
25,1.047822,0.675000
27,0.949021,0.662162
28,0.584870,0.855556
29,0.574095,0.888889
30,0.725659,0.763889
31,1.152503,0.558140
32,0.660280,0.800000
33,0.676990,0.806818
