channel_name,channel_index,mean_abs_shap
['Oz'],14,0.0005230423960521755
['P6'],46,0.00034474094496148033
['POz'],43,0.0003369711865641563
['P5'],40,0.0003169761620240543
['F8'],26,0.00031601531714089634
['O2'],15,0.0002860351043124525
['P3'],11,0.0002723145899860165
['P4'],16,0.00024253345800660274
['Fp1'],0,0.00024132648162828043
['PO4'],44,0.00023892666854020465
['AF8'],56,0.0002367942096418524
['T7'],7,0.00023631663751841285
['F7'],3,0.00023278695667950722
['F6'],55,0.0002317494900933225
['PO8'],45,0.00022988523535756773
['C3'],6,0.0002251783723742256
['FCz'],59,0.00022478240202788614
['FC6'],23,0.0002242154890580809
['P7'],12,0.00022260782868916256
['CP1'],9,0.0002201190414303207
['P8'],17,0.0002160281318793009
['C6'],51,0.0002159008890259835
['PO3'],42,0.0002148292568672721
['Pz'],10,0.00021271876186829602
['T8'],22,0.00021218421440233432
['P2'],47,0.00021057252845894218
['F3'],2,0.00020081677502786462
['AF7'],28,0.0002006819022357138
['F2'],58,0.00020027570245905298
['FC1'],5,0.00019612380957084822
['FT7'],33,0.00019469505620217921
['AF4'],57,0.000191364151704677
['PO7'],41,0.00018901573503950602
['TP7'],37,0.00018546781091848634
['C2'],52,0.00018443261635727522
['CP4'],49,0.00018426521087340776
['F1'],31,0.00018206726283713414
['FC4'],53,0.00018015414544362077
['CP2'],19,0.00017858397957167755
['CPz'],48,0.00017716302479225398
['Fz'],1,0.00017438327080544685
['O1'],13,0.00017017074333661444
['CP6'],18,0.00016727409296401593
['TP8'],50,0.00016724826632618742
['CP5'],8,0.00016368809010717497
['CP3'],38,0.00016278584006362788
['FC3'],34,0.00016027054558240744
['P1'],39,0.00015632010745582063
['C1'],35,0.00015497615105442548
['F4'],25,0.00014998811904812754
['FC2'],24,0.00014977275938556845
['C4'],21,0.00014873348164377956
['FT8'],54,0.00014321071880286684
['F5'],32,0.00014218389140955353
['Cz'],20,0.00013373705137435397
['FC5'],4,0.00012819909686535334
['AF3'],29,0.00012326882269783317
['Fp2'],27,0.0001203928195739968
['C5'],36,0.00011988443326176434
['AFz'],30,0.00011588020907219794
