Subject,Loss,Accuracy
17,0.713964,0.762500
18,0.773840,0.688889
19,0.730968,0.709302
20,0.667110,0.811111
21,0.720113,0.763889
22,0.676076,0.787500
23,0.582300,0.852273
25,0.810654,0.725000
27,0.833240,0.621622
28,0.632903,0.766667
29,0.625442,0.844444
30,0.647187,0.833333
31,0.780277,0.684211
32,0.690569,0.711111
33,0.603641,0.863636
