SubID,Group,Pre_Onset,Post_Onset,Pre_Dur,Post_Dur,Pre_Slope
1,Haptic,0.522208883553421,0.222088835534214,0.340136054421769,0.140056022408964,-4.047127
2,NonHaptic,0.102040816326531,NaN,0.120048019207683,0,-1.368607
3,Haptic,0.00200080032012805,0.00200080032012805,0.40016006402561,0.160064025610244,-13.87782
4,NonHaptic,0.00200080032012805,0.122048819527811,0.180072028811525,0.0600240096038415,-2.756943
5,Haptic,NaN,NaN,0,0,0
6,NonHaptic,0.222088835534214,0.782312925170068,0.0400160064025611,0.120048019207683,0
7,Haptic,0.00200080032012805,0.00200080032012805,0.220088035214086,0.040016006402561,-2.858185
8,NonHaptic,0.0820328131252501,NaN,0.040016006402561,0,-3.563766
9,Haptic,0.0620248099239696,NaN,0.360144057623049,0,-1.004452
10,NonHaptic,0.00200080032012805,1.92276910764306,0.200080032012805,0.0600240096038416,-9.079232
11,Haptic,0.122048819527811,0.102040816326531,0.080032012805122,0.120048019207683,-1.553759
12,NonHaptic,0.422168867547019,0.0820328131252501,0.420168067226891,1.60064025610244,-8.849179
13,Haptic,0.602240896358543,NaN,0.460184073629452,0,-12.95748
14,NonHaptic,0.662264905962385,0.0820328131252501,1.32052821128451,0.920368147258904,-5.58129
15,Haptic,0.442176870748299,1.74269707883153,0.560224089635854,0.100040016006403,-1.608892
16,NonHaptic,0.0220088035214086,0.00200080032012805,0.200080032012805,0.960384153661465,-2.259573
17,Haptic,0.0220088035214086,1.54261704681873,0.340136054421769,0.420168067226891,-2.371056
18,NonHaptic,0.0620248099239696,0.00200080032012805,0.220088035214086,0.40016006402561,-5.581542
19,Haptic,NaN,NaN,0,0,0
20,NonHaptic,1.34253701480592,0.0820328131252501,0.120048019207683,0.100040016006403,-2.234477
21,Haptic,0.682272909163665,1.80272108843537,0.0800320128051221,0.100040016006403,-2.340945
22,NonHaptic,0.00200080032012805,NaN,0.100040016006403,0,-1.452378
23,Haptic,0.00200080032012805,0.00200080032012805,0.220088035214086,0.240096038415366,-20.47635
24,NonHaptic,1.18247298919568,0.522208883553421,0.800320128051221,1.46058423369348,-2.0258
25,Haptic,0.942376950780312,0.00200080032012805,0.320128051220488,0.200080032012805,-12.82166
26,NonHaptic,NaN,1.28251300520208,0,0.100040016006403,0
27,Haptic,0.0820328131252501,0.00200080032012805,0.240096038415366,0.480192076830732,-8.445273
28,NonHaptic,NaN,0.102040816326531,0,0.140056022408964,0
29,Haptic,NaN,0.00200080032012805,0,0.40016006402561,0
30,NonHaptic,0.0420168067226891,0.00200080032012805,0.0200080032012805,1.14045618247299,-1.632411
31,Haptic,0.00200080032012805,0.742296918767507,0.140056022408964,0.440176070428171,-15.15111
32,NonHaptic,NaN,NaN,0,0,0
33,Haptic,0.00200080032012805,1.062424969988,0.180072028811525,0.920368147258904,-2.542486
34,NonHaptic,0.122048819527811,NaN,0.180072028811525,0,-0.4312036
35,Haptic,0.00200080032012805,0.162064825930372,0.720288115246098,0.580232092837135,-0.998957
36,NonHaptic,0.122048819527811,0.00200080032012805,0.100040016006403,0.700280112044818,-8.744384
37,Haptic,0.0620248099239696,1.20248099239696,0.360144057623049,0.78031212484994,-14.45232
38,NonHaptic,NaN,NaN,0,0,0
39,Haptic,0.00200080032012805,0.682272909163665,0.320128051220488,0.280112044817927,-0.9023506
40,NonHaptic,1.12244897959184,0.682272909163665,0.080032012805122,0.360144057623049,-3.171008
41,Haptic,0.00200080032012805,0.00200080032012805,0.240096038415366,1.4405762304922,-19.62402
42,NonHaptic,0.602240896358543,0.882352941176471,0.120048019207683,0.200080032012805,-2.160872
43,Haptic,0.0420168067226891,1.60264105642257,0.280112044817927,0.0800320128051222,-14.94784
44,NonHaptic,0.0620248099239696,0.742296918767507,0.220088035214086,0.320128051220488,-2.756028
