Session Marker Log - Subject 026 - POST Assessment
Date/Time: 2025-07-23 14:09:30
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        12.8288 | 32
        16.7965 | 48
        19.8627 | 208
        21.6512 | 224
        22.7466 | 32
        26.3465 | 64
        29.4132 | 208
        30.6020 | 224
        31.6965 | 32
        35.7469 | 64
        38.8137 | 208
        39.6057 | 224
        40.6970 | 32
        44.5304 | 48
        47.5974 | 208
        48.4179 | 224
        49.4976 | 32
        53.3646 | 64
        56.4313 | 208
        57.1918 | 224
        58.2812 | 32
        61.7317 | 48
        64.7983 | 208
        65.4704 | 224
        66.5652 | 32
        69.4988 | 48
        72.5658 | 208
        73.2048 | 224
        74.2991 | 32
        78.1490 | 64
        81.2160 | 208
        81.7041 | 224
        82.7994 | 32
        86.8827 | 48
        89.9501 | 208
        91.4732 | 224
        92.5665 | 32
        95.4164 | 64
        98.4838 | 208
       100.1772 | 224
       101.2671 | 32
       105.3670 | 48
       108.4340 | 208
       109.4058 | 224
       110.5005 | 32
       114.3007 | 64
       117.3678 | 208
       119.3049 | 224
       120.3844 | 32
       124.4853 | 64
       127.5517 | 208
       128.9776 | 224
       130.0684 | 32
       133.6519 | 48
       136.7185 | 208
       137.6906 | 224
       138.7853 | 32
       141.8193 | 64
       144.8858 | 208
       146.1923 | 224
       147.2858 | 32
       150.9865 | 48
       154.0534 | 208
       154.7842 | 224
       155.8697 | 32
       159.3712 | 64
       162.4367 | 208
       162.9247 | 224
       164.0203 | 32
       168.1375 | 48
       171.2038 | 208
       172.2349 | 224
       173.3206 | 32
       177.4378 | 64
       180.5042 | 208
       181.3857 | 224
       182.4711 | 32
       186.4213 | 48
       189.4882 | 208
       192.5187 | 224
       193.6053 | 32
       196.5553 | 48
       199.6221 | 208
       200.3511 | 224
       201.4386 | 32
       205.3891 | 64
       208.4558 | 208
       209.7002 | 224
       210.7893 | 32
       214.9564 | 48
       218.0229 | 208
       218.5704 | 224
       219.6565 | 32
       222.6734 | 64
       225.7398 | 208
       226.5610 | 224
       227.6566 | 32
       230.4070 | 64
       233.4737 | 208
       235.7137 | 224
       236.8071 | 32
       240.0906 | 48
       243.1575 | 208
       243.8894 | 224
       244.9744 | 32
       248.2414 | 64
       251.3083 | 208
       252.0978 | 224
       253.1913 | 32
       255.8919 | 48
       258.9587 | 208
       259.5681 | 224
       260.6585 | 32
       263.9754 | 64
       267.0421 | 208
       268.1963 | 224
       269.2758 | 32
       273.3761 | 48
       276.4422 | 208
       277.5673 | 224
       278.6594 | 32
       281.6098 | 48
       284.6762 | 208
       285.1642 | 224
       286.2599 | 32
       289.0100 | 64
       292.0768 | 208
       292.4747 | 224
       293.5601 | 32
       296.9436 | 64
       300.0106 | 208
       300.4989 | 224
       301.5939 | 32
       304.7273 | 48
       307.7945 | 208
       308.8254 | 224
       309.9111 | 32
       312.9777 | 64
       316.0449 | 208
       317.2908 | 224
       318.3783 | 32
       321.5617 | 48
       324.6283 | 208
       325.0551 | 224
       326.1455 | 32
       329.0619 | 48
       332.1290 | 208
       332.5589 | 224
       333.6455 | 32
       337.6791 | 64
       340.7460 | 208
       341.6877 | 224
       342.7793 | 32
       345.9127 | 48
       348.9793 | 208
       349.6528 | 224
       350.7468 | 32
       353.8805 | 64
       356.9472 | 208
       357.9504 | 224
