Session Marker Log - Subject 040 - POST Assessment
Date/Time: 2025-08-19 13:59:58
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        16.4945 | 32
        19.6948 | 48
        22.7615 | 208
        23.8519 | 224
        24.9453 | 32
        28.8451 | 64
        31.9122 | 208
        34.1801 | 224
        35.2624 | 32
        38.6956 | 64
        41.7624 | 208
        42.8561 | 224
        43.9459 | 32
        47.8797 | 48
        50.9463 | 208
        53.4676 | 224
        54.5630 | 32
        58.1633 | 64
        61.2301 | 208
        62.1112 | 240
        63.1975 | 32
        66.5974 | 48
        69.6638 | 208
        71.5149 | 224
        72.5974 | 32
        75.5644 | 48
        78.6310 | 208
        79.1803 | 224
        80.2645 | 32
        83.6982 | 64
        86.7649 | 208
        88.6427 | 224
        89.7318 | 32
        92.5654 | 48
        95.6317 | 208
        96.5736 | 224
        97.6652 | 32
       101.3826 | 64
       104.4490 | 208
       108.6220 | 224
       109.7161 | 32
       113.2162 | 48
       116.2831 | 208
       117.2839 | 224
       118.3667 | 32
       122.0001 | 64
       125.0670 | 208
       127.1825 | 224
       128.2669 | 32
       131.4669 | 64
       134.5338 | 208
       135.5670 | 224
       136.6512 | 32
       139.6851 | 48
       142.7507 | 208
       143.9629 | 224
       145.0513 | 32
       148.2681 | 64
       151.3351 | 208
       152.5771 | 224
       153.6685 | 32
       156.9681 | 48
       160.0354 | 208
       160.7362 | 240
       161.8185 | 32
       164.7022 | 64
       167.7689 | 208
       168.9431 | 224
       170.0357 | 32
       172.8191 | 48
       175.8861 | 208
       177.4609 | 224
       178.5528 | 32
       182.6532 | 64
       185.7202 | 208
       186.3913 | 224
       187.4865 | 32
       190.9531 | 48
       194.0204 | 208
       194.9005 | 224
       195.9875 | 32
       199.9876 | 48
       203.0538 | 208
       203.9687 | 224
       205.0546 | 32
       208.0709 | 64
       211.1375 | 208
       211.9281 | 224
       213.0218 | 32
       216.9716 | 48
       220.0385 | 208
       221.1323 | 224
       222.2217 | 32
       225.4053 | 64
       228.4721 | 208
       229.2013 | 224
       230.2888 | 32
       233.8222 | 64
       236.8892 | 208
       238.8859 | 224
       239.9728 | 32
       243.1908 | 48
       246.2563 | 208
       246.9276 | 224
       248.0064 | 32
       252.1730 | 64
       255.2400 | 208
       255.8181 | 224
       256.9070 | 32
       259.9906 | 48
       263.0575 | 208
       264.0303 | 224
       265.1238 | 32
       267.8578 | 64
       270.9244 | 208
       271.8933 | 224
       272.9746 | 32
       276.8249 | 48
       279.8912 | 208
       280.8625 | 224
       281.9413 | 32
       285.5418 | 48
       288.6083 | 208
       289.2180 | 224
       290.3088 | 32
       293.6756 | 64
       296.7422 | 208
       298.2799 | 240
       299.3594 | 32
       302.5097 | 64
       305.5759 | 208
       307.0056 | 224
       308.0931 | 32
       311.3598 | 48
       314.4266 | 208
       315.4615 | 224
       316.5433 | 32
       319.6435 | 64
       322.7104 | 208
       323.3113 | 224
       324.3938 | 32
       328.0940 | 48
       331.1609 | 208
       333.1908 | 224
       334.2774 | 32
       337.1610 | 48
       340.2286 | 208
       341.8382 | 224
       342.9284 | 32
       346.9785 | 64
       350.0453 | 208
       350.9255 | 224
       352.0119 | 32
       354.8622 | 48
       357.9289 | 208
       358.7512 | 224
       359.8456 | 32
       363.3290 | 64
       366.3961 | 208
       368.0957 | 224
