Session Marker Log - Subject 013 - POST Assessment
Date/Time: 2025-07-10 12:01:25
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        10.0114 | 2
        13.3113 | 3
        16.3786 | 13
        17.2591 | 14
        18.3451 | 2
        21.7953 | 4
        24.8619 | 13
        26.3754 | 14
        27.4621 | 2
        31.0622 | 4
        34.1295 | 13
        35.1911 | 14
        36.2794 | 2
        39.4800 | 3
        42.5463 | 13
        43.2456 | 14
        44.3295 | 2
        48.0130 | 4
        51.0802 | 13
        52.3520 | 14
        53.4631 | 2
        56.1471 | 3
        59.2139 | 13
        62.1799 | 14
        63.2644 | 2
        66.0642 | 3
        69.1311 | 13
        70.3143 | 14
        71.3980 | 2
        74.9982 | 4
        78.0650 | 13
        79.5789 | 14
        80.6816 | 2
        84.4984 | 3
        87.5652 | 13
        89.2046 | 14
        90.2990 | 2
        94.3154 | 4
        97.3822 | 13
        99.0490 | 14
       100.1324 | 2
       103.8996 | 3
       106.9663 | 13
       108.3583 | 14
       109.4498 | 2
       112.5669 | 4
       115.6333 | 13
       116.9680 | 14
       118.0502 | 2
       120.8338 | 4
       123.9006 | 13
       126.1362 | 14
       127.2174 | 2
       130.4680 | 3
       133.5341 | 13
       134.8978 | 14
       135.9844 | 2
       138.7513 | 4
       141.8182 | 13
       143.1183 | 14
       144.2185 | 2
       147.8685 | 3
       150.9352 | 13
       151.5432 | 14
       152.6352 | 2
       156.3531 | 4
       159.4191 | 13
       160.3601 | 15
       161.4691 | 2
       165.5029 | 3
       168.5698 | 13
       169.8108 | 14
       170.9029 | 2
       173.6698 | 4
       176.7365 | 13
       178.3727 | 14
       179.4698 | 2
       183.1872 | 3
       186.2537 | 13
       187.2256 | 14
       188.3208 | 2
       191.3539 | 3
       194.4205 | 13
       197.3874 | 14
       198.4712 | 2
       202.1875 | 4
       205.2547 | 13
       207.2817 | 14
       208.3716 | 2
       211.2385 | 3
       214.3048 | 13
       215.3351 | 14
       216.4218 | 2
       219.5723 | 4
       222.6392 | 13
       224.6080 | 14
       225.7062 | 2
       229.0229 | 4
       232.0896 | 13
       232.8787 | 14
       233.9896 | 2
       237.2403 | 3
       240.3066 | 13
       244.0864 | 14
       245.1737 | 2
       248.5570 | 4
       251.6241 | 13
       256.2836 | 14
       257.3743 | 2
       260.4078 | 3
       263.4741 | 13
       266.7084 | 14
       267.7917 | 2
       271.5920 | 4
       274.6585 | 13
       277.1430 | 14
       278.2421 | 2
       282.2922 | 3
       285.3585 | 13
       286.4776 | 14
       287.5589 | 2
       290.4427 | 3
       293.5093 | 13
       295.1759 | 14
       296.2595 | 2
       299.2429 | 4
       302.3102 | 13
       304.9743 | 14
       306.0600 | 2
       308.9104 | 4
       311.9768 | 13
       315.3933 | 14
       316.4773 | 2
       319.6272 | 3
       322.6941 | 13
       325.7463 | 14
       326.8278 | 2
       330.8454 | 4
       333.9114 | 13
       335.7301 | 14
       336.8282 | 2
       340.6286 | 3
       343.6953 | 13
       347.1434 | 14
       348.2290 | 2
       352.2796 | 3
       355.3458 | 13
       357.6751 | 14
       358.7629 | 2
       362.7464 | 4
       365.8130 | 13
       373.7063 | 14
       374.7969 | 2
       378.3809 | 3
       381.4472 | 13
       383.4755 | 14
       384.5641 | 2
       387.3643 | 4
       390.4309 | 13
       395.3323 | 14
