Session Marker Log - Subject 037 - POST Assessment
Date/Time: 2025-08-14 20:09:53
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        17.8287 | 2
        21.5121 | 3
        24.5791 | 13
        25.4882 | 14
        26.5787 | 2
        29.4625 | 4
        32.5295 | 13
        33.2919 | 14
        34.3792 | 2
        37.9126 | 4
        40.9798 | 13
        41.8304 | 14
        42.9131 | 2
        45.8139 | 3
        48.8803 | 13
        49.6417 | 14
        50.7303 | 2
        54.0137 | 4
        57.0801 | 13
        57.7473 | 14
        58.8307 | 2
        61.9310 | 3
        64.9977 | 13
        65.7565 | 14
        66.8478 | 2
        70.9649 | 3
        74.0320 | 13
        74.8215 | 14
        75.9148 | 2
        79.3487 | 4
        82.4149 | 13
        83.1137 | 14
        84.1984 | 2
        88.2160 | 3
        91.2824 | 13
        91.9810 | 14
        93.0661 | 2
        96.5828 | 4
        99.6492 | 13
       100.8013 | 14
       101.8828 | 2
       105.2665 | 3
       108.3329 | 13
       108.9715 | 14
       110.0669 | 2
       113.5498 | 4
       116.6169 | 13
       117.5584 | 14
       118.6506 | 2
       122.5674 | 4
       125.6341 | 13
       126.1805 | 14
       127.2677 | 2
       130.9679 | 3
       134.0350 | 13
       134.8858 | 14
       135.9682 | 2
       139.7348 | 4
       142.8015 | 13
       143.8311 | 14
       144.9181 | 2
       148.2686 | 3
       151.3357 | 13
       152.1925 | 14
       153.2858 | 2
       157.2526 | 4
       160.3196 | 13
       161.1090 | 14
       162.2028 | 2
       165.1364 | 3
       168.2028 | 13
       168.9324 | 14
       170.0197 | 2
       173.0202 | 4
       176.0870 | 13
       176.6960 | 14
       177.7870 | 2
       180.5703 | 3
       183.6369 | 13
       184.3673 | 14
       185.4541 | 2
       189.2039 | 3
       192.2708 | 13
       193.5156 | 14
       194.6042 | 2
       197.4548 | 4
       200.5213 | 13
       201.8269 | 14
       202.9215 | 2
       206.0884 | 3
       209.1553 | 13
       210.0055 | 14
       211.0886 | 2
       214.9887 | 4
       218.0558 | 13
       219.0612 | 14
       220.1554 | 2
       224.2894 | 4
       227.3561 | 13
       229.1124 | 14
       230.2060 | 2
       233.8066 | 3
       236.8733 | 13
       237.6917 | 14
       238.7738 | 2
       241.6232 | 4
       244.6905 | 13
       245.2665 | 15
       246.3569 | 2
       249.4073 | 3
       252.4737 | 13
       253.1125 | 14
       254.2074 | 2
       257.3748 | 4
       260.4411 | 13
       260.8391 | 14
       261.9244 | 2
       264.9743 | 3
       268.0416 | 13
       269.0112 | 14
       270.0916 | 2
       273.3920 | 3
       276.4588 | 13
       277.7975 | 14
       278.8923 | 2
       282.7921 | 4
       285.8593 | 13
       286.8000 | 14
       287.8929 | 2
       291.2927 | 4
       294.3598 | 13
       294.9080 | 14
       295.9931 | 2
       298.8766 | 3
       301.9430 | 13
       302.6731 | 14
       303.7602 | 2
       307.9103 | 4
       310.9773 | 13
       311.7081 | 14
       312.7937 | 2
       315.5939 | 3
       318.6610 | 13
       319.5708 | 14
       320.6609 | 2
       323.6780 | 3
       326.7449 | 13
       327.5935 | 14
       328.6781 | 2
       332.6785 | 4
       335.7449 | 13
       336.2625 | 14
       337.3452 | 2
       340.5285 | 3
       343.5959 | 13
       344.4489 | 14
       345.5291 | 2
       348.8793 | 4
       351.9460 | 13
       352.7049 | 14
