Session Marker Log - Subject 038 - PRE Assessment
Date/Time: 2025-08-15 15:00:32
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
       179.2044 | 32
       182.7384 | 48
       185.8050 | 208
       187.0495 | 224
       188.1385 | 32
       190.8387 | 64
       193.9053 | 208
       194.8206 | 224
       195.9056 | 32
       199.9392 | 64
       203.0061 | 208
       203.7667 | 224
       204.8557 | 32
       207.7063 | 48
       210.7730 | 208
       212.1670 | 224
       213.2566 | 32
       216.8402 | 64
       219.9065 | 208
       220.8819 | 224
       221.9738 | 32
       225.0573 | 48
       228.1235 | 208
       228.7325 | 224
       229.8242 | 32
       233.8747 | 48
       236.9407 | 208
       237.9101 | 224
       238.9910 | 32
       242.7581 | 64
       245.8249 | 208
       246.6747 | 224
       247.7583 | 32
       251.5085 | 48
       254.5750 | 208
       255.5746 | 224
       256.6588 | 32
       259.9923 | 64
       263.0591 | 208
       263.7889 | 224
       264.8759 | 32
       268.4257 | 48
       271.4926 | 208
       272.3759 | 224
       273.4594 | 32
       277.4431 | 64
       280.5101 | 208
       280.9969 | 224
       282.0763 | 32
       285.8770 | 64
       288.9435 | 208
       289.5814 | 224
       290.6601 | 32
       294.0606 | 48
       297.1271 | 208
       299.2758 | 240
       300.3611 | 32
       303.8443 | 64
       306.9113 | 208
       307.8215 | 224
       308.9113 | 32
       312.6286 | 48
       315.6949 | 208
       316.6044 | 224
       317.6952 | 32
       320.4620 | 64
       323.5284 | 208
       324.4391 | 224
       325.5286 | 32
       329.5621 | 48
       332.6293 | 208
       332.8754 | 224
       333.9629 | 32
       337.2629 | 64
       340.3297 | 208
       341.1778 | 224
       342.2793 | 32
       345.2801 | 48
       348.3466 | 208
       349.6784 | 224
       350.7631 | 32
       354.7472 | 48
       357.8139 | 208
       358.6346 | 224
       359.7139 | 32
       362.4308 | 64
       365.4976 | 208
       366.3771 | 224
       367.4643 | 32
       370.6312 | 48
       373.6981 | 208
       374.6991 | 224
       375.7815 | 32
       378.5484 | 64
       381.6149 | 208
       382.3129 | 224
       383.3987 | 32
       387.4322 | 64
       390.4990 | 208
       391.1412 | 224
       392.2323 | 32
       395.2158 | 48
       398.2823 | 208
       398.4987 | 224
       399.5826 | 32
       403.2662 | 64
       406.3333 | 208
       407.0635 | 224
       408.1496 | 32
       411.4836 | 48
       414.5502 | 208
       415.8850 | 224
       416.9667 | 32
       420.3506 | 64
       423.4173 | 208
       424.1773 | 224
       425.2671 | 32
       428.2509 | 48
       431.3177 | 208
       432.0462 | 224
       433.1347 | 32
       436.3344 | 48
       439.4013 | 208
       440.3113 | 224
       441.4016 | 32
       444.3018 | 64
       447.3688 | 208
       448.5816 | 224
       449.6688 | 32
       453.0187 | 64
       456.0857 | 208
       457.1173 | 224
       458.2024 | 32
       461.3028 | 48
       464.3692 | 208
       465.7912 | 224
       466.8869 | 32
       470.0867 | 64
       473.1530 | 208
       474.3635 | 224
       475.4537 | 32
       478.3870 | 48
       481.4532 | 208
       482.4854 | 224
       483.5705 | 32
       486.7208 | 48
       489.7877 | 208
       491.0601 | 224
       492.1542 | 32
       495.4879 | 64
       498.5548 | 208
       499.9807 | 224
       501.0715 | 32
       504.9552 | 48
       508.0218 | 208
       509.1159 | 224
       510.2053 | 32
       513.8388 | 64
       516.9052 | 208
       518.1208 | 240
