Session Marker Log - Subject 017 - POST Assessment
Date/Time: 2025-07-11 10:22:29
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        21.1113 | 2
        23.8119 | 3
        26.8788 | 13
        28.0673 | 14
        29.1626 | 2
        32.8960 | 4
        35.9629 | 13
        37.3241 | 14
        38.4293 | 2
        41.5964 | 4
        44.6634 | 13
        47.5735 | 14
        48.6634 | 2
        51.6636 | 3
        54.7304 | 13
        56.2505 | 14
        57.3306 | 2
        61.0809 | 4
        64.1475 | 13
        65.6669 | 14
        66.7644 | 2
        69.9643 | 3
        73.0309 | 13
        73.9432 | 14
        75.0312 | 2
        78.8814 | 3
        81.9481 | 13
        84.1021 | 14
        85.1819 | 2
        88.4819 | 4
        91.5490 | 13
        93.0646 | 14
        94.1656 | 2
        96.8497 | 3
        99.9160 | 13
       102.6998 | 14
       103.7828 | 2
       107.3998 | 4
       110.4661 | 13
       111.9507 | 14
       113.0336 | 2
       116.0336 | 3
       119.1003 | 13
       119.6787 | 14
       120.7669 | 2
       124.7171 | 4
       127.7838 | 13
       129.5119 | 14
       130.6010 | 2
       134.1512 | 4
       137.2182 | 13
       141.1221 | 14
       142.2013 | 2
       146.0689 | 3
       149.1354 | 13
       150.6861 | 14
       151.7686 | 2
       155.5521 | 4
       158.6192 | 13
       161.6169 | 14
       162.7187 | 2
       165.8533 | 3
       168.9193 | 13
       171.3397 | 14
       172.4195 | 2
       176.2033 | 4
       179.2703 | 13
       183.7484 | 14
       184.8540 | 2
       187.5541 | 3
       190.6207 | 13
       191.8043 | 14
       192.8875 | 2
       196.6544 | 4
       199.7213 | 13
       202.5070 | 14
       203.6044 | 2
       206.6548 | 3
       209.7216 | 13
       211.9640 | 14
       213.0550 | 2
       217.1719 | 3
       220.2387 | 13
       222.0016 | 14
       223.0892 | 2
       226.7394 | 4
       229.8061 | 13
       232.8921 | 14
       233.9897 | 2
       237.0399 | 3
       240.1066 | 13
       241.4995 | 14
       242.5905 | 2
       246.1238 | 4
       249.1902 | 13
       252.5486 | 14
       253.6575 | 2
       257.7743 | 4
       260.8407 | 13
       264.6513 | 14
       265.7580 | 2
       268.9749 | 3
       272.0415 | 13
       273.3487 | 14
       274.4421 | 2
       278.1586 | 4
       281.2253 | 13
       283.1628 | 14
       284.2588 | 2
       286.9593 | 3
       290.0258 | 13
       291.9625 | 14
       293.0424 | 2
       296.5436 | 4
       299.6096 | 13
       302.6054 | 14
       303.7101 | 2
       307.7442 | 3
       310.8103 | 13
       312.5685 | 14
       313.6607 | 2
       317.3108 | 3
       320.3774 | 13
       321.2891 | 14
       322.3776 | 2
       325.0608 | 4
       328.1276 | 13
       335.2020 | 14
       336.3118 | 2
       339.1449 | 4
       342.2123 | 13
       344.9395 | 14
       346.0289 | 2
       349.1624 | 3
       352.2289 | 13
       353.4113 | 14
       354.4958 | 2
       357.7624 | 4
       360.8298 | 13
       363.0728 | 14
       364.1797 | 2
       368.1633 | 3
       371.2303 | 13
       373.5337 | 14
       374.6133 | 2
       377.9979 | 3
       381.0638 | 13
       383.3992 | 14
       384.4809 | 2
       388.4978 | 4
       391.5645 | 13
       393.2588 | 14
       394.3645 | 2
       397.8817 | 3
       400.9482 | 13
       402.6184 | 14
       403.6986 | 2
       406.7151 | 4
       409.7825 | 13
       413.6847 | 14
