Session Marker Log - Subject 024 - POST Assessment
Date/Time: 2025-07-22 14:03:02
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
       220.4555 | 32
       223.3725 | 48
       226.4392 | 208
       228.2858 | 224
       229.3727 | 32
       232.9565 | 64
       236.0232 | 208
       237.3886 | 224
       238.4730 | 32
       241.7566 | 64
       244.8231 | 208
       246.4026 | 224
       247.4903 | 32
       250.2567 | 48
       253.3240 | 208
       254.2359 | 224
       255.3238 | 32
       259.4074 | 64
       262.4744 | 208
       263.5399 | 224
       264.6241 | 32
       268.1414 | 48
       271.2080 | 208
       272.1789 | 224
       273.2586 | 32
       277.3755 | 48
       280.4422 | 208
       281.6290 | 224
       282.7086 | 32
       285.9425 | 64
       289.0090 | 208
       290.5558 | 224
       291.6425 | 32
       295.5263 | 48
       298.5927 | 208
       300.0784 | 224
       301.1595 | 32
       304.3767 | 64
       307.4431 | 208
       308.5664 | 224
       309.6602 | 32
       312.5436 | 48
       315.6102 | 208
       316.6121 | 224
       317.6939 | 32
       321.0441 | 64
       324.1110 | 208
       325.1431 | 224
       326.2276 | 32
       329.0942 | 64
       332.1613 | 208
       333.4648 | 224
       334.5454 | 32
       338.0788 | 48
       341.1447 | 208
       342.0304 | 224
       343.1114 | 32
       346.7623 | 64
       349.8289 | 208
       350.9232 | 224
       352.0121 | 32
       356.0463 | 48
       359.1127 | 208
       359.8122 | 224
       360.8964 | 32
       363.9467 | 64
       367.0133 | 208
       369.1965 | 224
       370.2797 | 32
       373.6304 | 48
       376.6970 | 208
       377.4297 | 224
       378.5135 | 32
       381.5973 | 64
       384.6641 | 208
       385.5162 | 224
       386.5982 | 32
       390.3646 | 48
       393.4312 | 208
       394.1922 | 224
       395.2810 | 32
       398.1315 | 48
       401.1980 | 208
       402.1089 | 224
       403.1987 | 32
       406.8319 | 64
       409.8988 | 208
       411.1116 | 224
       412.1990 | 32
       415.3655 | 48
       418.4329 | 208
       419.1918 | 224
       420.2821 | 32
       424.2829 | 64
       427.3500 | 208
       428.4137 | 224
       429.4994 | 32
       433.0165 | 64
       436.0834 | 208
       437.3276 | 224
       438.4169 | 32
       442.1837 | 48
       445.2504 | 208
       446.7648 | 224
       447.8507 | 32
       451.5674 | 64
       454.6344 | 208
       455.8783 | 224
       456.9678 | 32
       460.3182 | 48
       463.3849 | 208
       464.2376 | 224
       465.3186 | 32
       469.1682 | 64
       472.2352 | 208
       473.2998 | 224
       474.3855 | 32
       477.5686 | 48
       480.6353 | 208
       483.1497 | 224
       484.2361 | 32
       487.8695 | 48
       490.9367 | 208
       491.8783 | 224
       492.9700 | 32
       496.4035 | 64
       499.4701 | 208
       500.2298 | 224
       501.3197 | 32
       504.7537 | 64
       507.8204 | 208
       508.7342 | 224
       509.8209 | 32
       513.4544 | 48
       516.5208 | 208
       517.3412 | 224
       518.4208 | 32
       522.0551 | 64
       525.1210 | 208
       526.1834 | 224
       527.2715 | 32
       530.3215 | 48
       533.3886 | 208
       534.1795 | 224
       535.2718 | 32
       538.3723 | 48
       541.4387 | 208
       542.4725 | 224
       543.5556 | 32
       546.3410 | 64
       549.4057 | 208
       550.4694 | 224
       551.5562 | 32
       554.5396 | 48
       557.6064 | 208
       558.2457 | 224
       559.3398 | 32
       562.4902 | 64
       565.5565 | 208
       566.5575 | 224
