Session Marker Log - Subject 007 - PRE Assessment
Date/Time: 2025-07-08 17:35:52
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        19.9464 | 2
        24.1138 | 3
        27.1804 | 13
        28.8152 | 14
        29.8970 | 2
        33.2805 | 4
        36.3471 | 13
        38.9199 | 14
        40.0143 | 2
        43.2812 | 4
        46.3479 | 13
        47.4390 | 14
        48.5310 | 2
        51.8484 | 3
        54.9149 | 13
        56.1670 | 14
        57.2484 | 2
        60.7322 | 4
        63.7989 | 13
        64.8288 | 14
        65.9154 | 2
        68.9157 | 3
        71.9825 | 13
        72.9845 | 14
        74.0663 | 2
        76.9666 | 3
        80.0332 | 13
        81.7307 | 14
        82.8163 | 2
        85.5169 | 4
        88.5836 | 13
        90.6455 | 14
        91.7332 | 2
        94.7013 | 3
        97.7672 | 13
        98.6182 | 14
        99.7009 | 2
       102.6177 | 4
       105.6846 | 13
       106.6557 | 14
       107.7512 | 2
       111.8351 | 3
       114.9014 | 13
       115.7543 | 14
       116.8349 | 2
       120.3519 | 4
       123.4186 | 13
       124.8421 | 14
       125.9356 | 2
       129.3360 | 4
       132.4024 | 13
       133.3754 | 14
       134.4691 | 2
       137.1531 | 3
       140.2196 | 13
       141.8276 | 14
       142.9195 | 2
       146.3862 | 4
       149.4536 | 13
       151.8448 | 14
       152.9369 | 2
       155.6869 | 3
       158.7540 | 13
       160.7526 | 14
       161.8372 | 2
       165.2707 | 4
       168.3377 | 13
       169.2776 | 14
       170.3710 | 2
       174.0050 | 3
       177.0716 | 13
       178.2236 | 14
       179.3047 | 2
       182.7886 | 4
       185.8551 | 13
       186.9774 | 14
       188.0719 | 2
       191.7223 | 3
       194.7888 | 13
       195.8789 | 14
       196.9727 | 2
       200.0061 | 3
       203.0731 | 13
       204.2249 | 14
       205.3064 | 2
       208.6064 | 4
       211.6732 | 13
       212.8260 | 14
       213.9065 | 2
       218.0066 | 3
       221.0738 | 13
       222.4351 | 14
       223.5239 | 2
       227.1741 | 4
       230.2409 | 13
       231.4229 | 14
       232.5076 | 2
       236.6084 | 4
       239.6745 | 13
       240.5261 | 14
       241.6079 | 2
       245.2587 | 3
       248.3250 | 13
       249.7170 | 14
       250.8082 | 2
       253.6587 | 4
       256.7257 | 13
       257.6372 | 14
       258.7255 | 2
       261.6759 | 3
       264.7428 | 13
       266.1382 | 14
       267.2262 | 2
       270.9934 | 4
       274.0594 | 13
       274.5774 | 14
       275.6598 | 2
       279.4933 | 3
       282.5601 | 13
       283.5043 | 14
       284.5935 | 2
       287.5604 | 3
       290.6274 | 13
       291.4768 | 14
       292.5608 | 2
       295.2946 | 4
       298.3609 | 13
       299.1507 | 14
       300.2447 | 2
       303.0112 | 4
       306.0781 | 13
       306.5065 | 14
       307.5949 | 2
       310.2952 | 3
       313.3618 | 13
       314.4245 | 14
       315.5121 | 2
       319.6124 | 4
       322.6792 | 13
       323.6498 | 14
       324.7291 | 2
       328.6629 | 3
       331.7294 | 13
       333.5155 | 14
       334.5960 | 2
       338.1967 | 3
       341.2635 | 13
       344.1661 | 14
       345.2468 | 2
       348.9135 | 4
       351.9806 | 13
       353.0409 | 14
       354.1305 | 2
       357.8475 | 3
       360.9140 | 13
       362.5169 | 14
       363.5978 | 2
       367.6981 | 4
       370.7647 | 13
       373.9672 | 14
