Session Marker Log - Subject 037 - PRE Assessment
Date/Time: 2025-08-14 19:36:53
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
       187.7065 | 2
       190.7899 | 3
       193.8564 | 13
       194.6460 | 14
       195.7399 | 2
       199.7238 | 4
       202.7906 | 13
       204.0923 | 14
       205.1737 | 2
       209.2572 | 4
       212.3245 | 13
       213.5962 | 14
       214.6910 | 2
       217.6084 | 3
       220.6750 | 13
       221.5252 | 15
       222.6081 | 2
       225.7581 | 4
       228.8250 | 13
       229.6458 | 14
       230.7249 | 2
       234.7258 | 3
       237.7921 | 13
       238.7330 | 14
       239.8256 | 2
       242.8258 | 3
       245.8924 | 13
       246.9860 | 15
       248.0762 | 2
       251.9932 | 4
       255.0599 | 13
       255.7924 | 14
       256.8767 | 2
       260.9268 | 3
       263.9934 | 13
       264.7832 | 14
       265.8772 | 2
       269.0939 | 4
       272.1606 | 13
       273.7359 | 14
       274.8273 | 2
       278.6776 | 3
       281.7441 | 13
       283.0757 | 14
       284.1612 | 2
       286.8784 | 4
       289.9452 | 13
       290.7655 | 14
       291.8448 | 2
       294.7283 | 4
       297.7953 | 13
       298.7062 | 14
       299.8123 | 2
       302.5789 | 3
       305.6456 | 13
       307.0375 | 14
       308.1298 | 2
       312.1964 | 4
       315.2635 | 13
       316.3851 | 14
       317.4799 | 2
       321.4803 | 3
       324.5470 | 13
       325.5480 | 14
       326.6298 | 2
       329.4136 | 4
       332.4803 | 13
       333.3007 | 14
       334.3807 | 2
       337.1137 | 3
       340.1804 | 13
       341.4529 | 14
       342.5477 | 2
       346.2811 | 4
       349.3478 | 13
       350.1364 | 14
       351.2316 | 2
       354.9814 | 3
       358.0486 | 13
       359.4414 | 14
       360.5321 | 2
       364.5156 | 3
       367.5823 | 13
       368.3124 | 15
       369.3991 | 2
       372.7157 | 4
       375.7831 | 13
       376.9058 | 14
       377.9994 | 2
       382.0332 | 3
       385.0998 | 13
       386.0100 | 14
       387.0996 | 2
       391.0167 | 4
       394.0835 | 13
       395.1791 | 15
       396.2670 | 2
       400.2675 | 4
       403.3343 | 13
       404.4858 | 14
       405.5676 | 2
       408.5848 | 3
       411.6510 | 13
       413.1089 | 14
       414.2017 | 2
       417.5514 | 4
       420.6184 | 13
       422.4058 | 14
       423.4850 | 2
       427.2854 | 3
       430.3525 | 13
       431.3218 | 14
       432.4028 | 2
       436.2860 | 4
       439.3525 | 13
       440.2340 | 14
       441.3194 | 2
       445.3698 | 3
       448.4367 | 13
       450.0738 | 14
       451.1530 | 2
       454.1870 | 3
       457.2537 | 13
       458.1056 | 14
       459.1868 | 2
       463.3541 | 4
       466.4209 | 13
       467.7544 | 14
       468.8375 | 2
       471.8045 | 4
       474.8715 | 13
       475.9652 | 14
       477.0548 | 2
       480.8386 | 3
       483.9048 | 13
       484.8189 | 14
       485.9059 | 2
       489.2556 | 4
       492.3220 | 13
       492.9907 | 14
       494.0724 | 2
       497.3724 | 3
       500.4395 | 13
       503.5863 | 14
       504.6729 | 2
       508.0232 | 3
       511.0894 | 13
       511.9702 | 14
       513.0565 | 2
       516.2408 | 4
       519.3070 | 13
       520.6712 | 14
       521.7568 | 2
       525.6910 | 3
       528.7574 | 13
       529.7000 | 14
       530.7907 | 2
       533.6409 | 4
       536.7078 | 13
       537.5277 | 14
