Session Marker Log - Subject 020 - POST Assessment
Date/Time: 2025-07-21 11:58:21
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        12.1280 | 32
        15.0112 | 48
        18.0781 | 208
        20.5892 | 224
        21.6785 | 32
        25.3458 | 64
        28.4116 | 208
        29.7171 | 224
        30.8120 | 32
        34.2457 | 64
        37.3125 | 208
        38.5251 | 224
        39.6126 | 32
        42.3292 | 48
        45.3961 | 208
        47.0324 | 224
        48.1133 | 32
        51.9634 | 64
        55.0296 | 208
        56.0311 | 224
        57.1134 | 32
        61.2304 | 48
        64.2967 | 208
        65.5699 | 224
        66.6638 | 32
        70.2977 | 48
        73.3645 | 208
        74.7278 | 224
        75.8146 | 32
        79.4154 | 64
        82.4811 | 208
        83.4868 | 224
        84.5820 | 32
        88.3316 | 48
        91.3987 | 208
        92.3712 | 224
        93.4656 | 32
        97.6160 | 64
       100.6824 | 208
       102.1970 | 224
       103.2827 | 32
       106.6495 | 48
       109.7162 | 208
       111.5654 | 224
       112.6497 | 32
       116.0331 | 64
       119.0998 | 208
       120.9456 | 224
       122.0336 | 32
       126.1336 | 64
       129.2004 | 208
       130.5641 | 224
       131.6511 | 32
       134.4345 | 48
       137.5014 | 208
       139.5913 | 224
       140.6845 | 32
       144.0014 | 64
       147.0679 | 208
       148.6143 | 224
       149.7013 | 32
       152.6854 | 48
       155.7523 | 208
       157.8815 | 224
       158.9689 | 32
       162.2522 | 64
       165.3188 | 208
       166.5047 | 224
       167.5860 | 32
       170.9031 | 48
       173.9701 | 208
       175.5799 | 224
       176.6697 | 32
       180.7035 | 64
       183.7702 | 208
       185.5612 | 224
       186.6530 | 32
       189.6535 | 48
       192.7207 | 208
       195.9631 | 224
       197.0541 | 32
       199.8706 | 48
       202.9379 | 208
       204.9382 | 240
       206.0211 | 32
       209.0547 | 64
       212.1213 | 208
       213.4014 | 224
       214.4880 | 32
       217.2718 | 48
       220.3387 | 208
       223.0343 | 224
       224.1221 | 32
       228.1385 | 64
       231.2065 | 208
       232.6919 | 224
       233.7722 | 32
       236.5560 | 64
       239.6231 | 208
       240.4144 | 240
       241.5066 | 32
       244.8564 | 48
       247.9236 | 208
       249.9524 | 224
       251.0400 | 32
       254.9736 | 64
       258.0406 | 208
       259.4028 | 224
       260.4906 | 32
       263.7742 | 48
       266.8408 | 208
       268.5382 | 224
       269.6245 | 32
       273.6746 | 64
       276.7417 | 208
       278.4719 | 224
       279.5582 | 32
       282.6585 | 48
       285.7256 | 208
       287.4857 | 224
       288.5752 | 32
       292.5923 | 48
       295.6595 | 208
       298.0851 | 224
       299.1758 | 32
       302.7593 | 64
       305.8262 | 208
       307.0711 | 224
       308.1600 | 32
       311.1268 | 64
       314.1932 | 208
       315.0740 | 224
       316.1607 | 32
       319.9774 | 48
       323.0441 | 208
       324.4094 | 224
       325.4939 | 32
       328.3607 | 64
       331.4276 | 208
       332.4307 | 224
       333.5114 | 32
       336.2779 | 48
       339.3449 | 208
       341.4970 | 224
       342.5785 | 32
       345.3787 | 48
       348.4452 | 208
       350.7458 | 224
       351.8291 | 32
       355.4953 | 64
       358.5620 | 208
       360.0773 | 224
       361.1622 | 32
       364.0300 | 48
       367.0961 | 208
       369.1568 | 224
       370.2467 | 32
       373.8643 | 64
       376.9298 | 208
       378.2344 | 224
