Session Marker Log - Subject 034 - PRE Assessment
Date/Time: 2025-08-04 15:36:25
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
       160.3262 | 32
       164.0095 | 48
       167.0757 | 208
       169.2860 | 224
       170.3764 | 32
       173.7104 | 64
       176.7767 | 208
       179.0493 | 224
       180.1602 | 32
       183.8771 | 64
       186.9438 | 208
       187.8885 | 224
       188.9772 | 32
       192.1272 | 48
       195.1942 | 208
       197.1339 | 224
       198.2278 | 32
       202.3618 | 64
       205.4285 | 208
       207.1860 | 224
       208.2782 | 32
       211.5619 | 48
       214.6289 | 208
       216.6592 | 224
       217.7455 | 32
       220.7626 | 48
       223.8290 | 208
       225.3743 | 224
       226.4628 | 32
       230.5630 | 64
       233.6296 | 208
       234.4832 | 240
       235.5634 | 32
       238.8802 | 48
       241.9470 | 208
       242.7666 | 224
       243.8472 | 32
       247.4472 | 64
       250.5141 | 208
       251.6089 | 224
       252.6973 | 32
       256.8146 | 48
       259.8817 | 208
       261.8561 | 224
       262.9480 | 32
       265.8313 | 64
       268.8978 | 208
       269.8404 | 224
       270.9312 | 32
       273.9987 | 64
       277.0653 | 208
       278.2200 | 224
       279.3157 | 32
       283.0158 | 48
       286.0827 | 208
       287.7187 | 224
       288.7993 | 32
       292.1660 | 64
       295.2327 | 208
       296.1479 | 224
       297.2328 | 32
       300.9999 | 48
       304.0668 | 208
       305.3402 | 224
       306.4331 | 32
       310.0342 | 64
       313.1009 | 208
       313.7094 | 224
       314.8002 | 32
       318.0844 | 48
       321.1507 | 208
       322.0019 | 224
       323.0843 | 32
       326.7343 | 64
       329.8015 | 208
       330.4104 | 224
       331.5014 | 32
       334.3018 | 48
       337.3684 | 208
       338.7649 | 224
       339.8521 | 32
       343.8024 | 48
       346.8689 | 208
       347.7203 | 224
       348.8026 | 32
       352.5024 | 64
       355.5693 | 208
       356.9635 | 224
       358.0523 | 32
       360.9367 | 48
       364.0032 | 208
       365.0091 | 224
       366.1030 | 32
       370.1373 | 64
       373.2032 | 208
       373.9050 | 224
       374.9871 | 32
       378.2206 | 64
       381.2877 | 208
       381.8393 | 224
       382.9211 | 32
       386.3542 | 48
       389.4214 | 208
       390.5116 | 224
       391.6042 | 32
       395.5217 | 64
       398.5880 | 208
       399.2585 | 224
       400.3384 | 32
       403.5551 | 48
       406.6220 | 208
       408.0772 | 224
       409.1725 | 32
       412.6722 | 64
       415.7395 | 208
       417.5410 | 224
       418.6227 | 32
       422.0395 | 48
       425.1063 | 208
       426.2588 | 224
       427.3398 | 32
       430.1735 | 48
       433.2399 | 208
       433.9897 | 224
       435.0738 | 32
       438.8736 | 64
       441.9404 | 208
       442.4291 | 224
       443.5235 | 32
       447.4573 | 64
       450.5240 | 208
       451.2536 | 224
       452.3412 | 32
       455.4580 | 48
       458.5248 | 208
       460.3149 | 224
       461.4083 | 32
       464.4586 | 64
       467.5250 | 208
       468.4360 | 224
       469.5251 | 32
       473.2588 | 48
       476.3255 | 208
       477.0253 | 224
       478.1091 | 32
       481.0756 | 48
       484.1428 | 208
       485.4480 | 224
       486.5430 | 32
       490.0776 | 64
       493.1431 | 208
       494.4753 | 224
       495.5596 | 32
       498.6269 | 48
       501.6935 | 208
       503.2457 | 224
       504.3269 | 32
       507.1107 | 64
       510.1775 | 208
       511.5093 | 224
