Session Marker Log - Subject 012 - POST Assessment
Date/Time: 2025-07-10 10:14:55
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        11.8627 | 32
        15.1634 | 48
        18.2299 | 208
        19.2629 | 224
        20.3462 | 32
        23.1969 | 64
        26.2635 | 208
        27.4467 | 224
        28.5299 | 32
        31.9137 | 64
        34.9803 | 208
        35.8300 | 224
        36.9140 | 32
        41.0140 | 48
        44.0806 | 208
        44.9895 | 224
        46.0807 | 32
        49.4979 | 64
        52.5650 | 208
        53.7179 | 224
        54.8147 | 32
        58.3650 | 48
        61.4320 | 208
        62.1012 | 224
        63.1822 | 32
        66.4824 | 48
        69.5491 | 208
        70.1567 | 224
        71.2490 | 32
        75.0662 | 64
        78.1326 | 208
        79.2858 | 224
        80.3825 | 32
        84.4340 | 48
        87.4997 | 208
        88.2594 | 224
        89.3501 | 32
        93.1505 | 64
        96.2169 | 208
        97.1277 | 224
        98.2174 | 32
       101.4008 | 48
       104.4676 | 208
       105.2283 | 224
       106.3175 | 32
       109.4682 | 64
       112.5342 | 208
       113.2992 | 224
       114.3847 | 32
       118.5348 | 64
       121.6016 | 208
       122.4539 | 224
       123.5350 | 32
       127.3190 | 48
       130.3852 | 208
       131.2972 | 224
       132.3856 | 32
       136.0024 | 64
       139.0692 | 208
       139.7385 | 224
       140.8358 | 32
       144.1025 | 48
       147.1698 | 208
       147.9596 | 224
       149.0535 | 32
       152.9696 | 64
       156.0366 | 208
       157.1612 | 224
       158.2700 | 32
       162.2373 | 48
       165.3040 | 208
       166.1244 | 224
       167.2039 | 32
       170.1044 | 64
       173.1708 | 208
       175.0807 | 224
       176.1879 | 32
       180.3381 | 48
       183.4049 | 208
       184.1952 | 224
       185.2885 | 32
       187.9885 | 48
       191.0551 | 208
       192.0264 | 224
       193.1051 | 32
       195.8387 | 64
       198.9055 | 208
       199.7548 | 224
       200.8390 | 32
       204.7732 | 48
       207.8398 | 208
       208.5381 | 224
       209.6231 | 32
       213.5563 | 64
       216.6232 | 208
       217.7747 | 224
       218.8736 | 32
       221.5571 | 64
       224.6241 | 208
       225.2042 | 224
       226.3069 | 32
       229.7909 | 48
       232.8573 | 208
       233.8284 | 224
       234.9073 | 32
       238.1241 | 64
       241.1913 | 208
       242.1920 | 224
       243.2912 | 32
       247.1247 | 48
       250.1916 | 208
       251.1949 | 224
       252.2756 | 32
       255.7090 | 64
       258.7754 | 208
       259.5054 | 224
       260.6091 | 32
       264.7434 | 48
       267.8089 | 208
       268.5986 | 224
       269.6928 | 32
       272.7596 | 48
       275.8262 | 208
       277.2188 | 224
       278.3095 | 32
       282.0938 | 64
       285.1601 | 208
       285.9796 | 224
       287.0604 | 32
       290.0439 | 64
       293.1107 | 208
       293.9918 | 224
       295.0777 | 32
       298.7942 | 48
       301.8610 | 208
       302.8019 | 224
       303.8945 | 32
       307.2117 | 64
       310.2782 | 208
       311.5505 | 224
       312.6615 | 32
       315.6116 | 48
       318.6788 | 208
       319.4113 | 240
       320.4950 | 32
       324.4956 | 48
       327.5624 | 208
       328.3827 | 224
       329.4622 | 32
       333.5795 | 64
       336.6459 | 208
       337.8605 | 224
       338.9463 | 32
       342.2965 | 48
       345.3637 | 208
       345.9427 | 224
       347.0300 | 32
       350.5976 | 64
       353.6636 | 208
       355.1786 | 224
