Session Marker Log - Subject 005 - PRE Assessment
Date/Time: 2025-06-26 14:34:27
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
         7.3127 | 2
        10.1461 | 3
        13.2126 | 13
        14.1208 | 15
        14.7128 | 2
        18.1630 | 4
        21.2299 | 13
        22.3767 | 15
        22.9799 | 2
        25.7800 | 4
        28.8465 | 13
        29.8752 | 15
        30.4635 | 2
        34.4802 | 3
        37.5472 | 13
        38.3952 | 15
        38.9805 | 2
        41.6806 | 4
        44.7478 | 13
