Session Marker Log - Subject 003 - PRE Assessment
Date/Time: 2025-07-07 17:56:07
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        73.6142 | 2
        77.0315 | 3
        80.0978 | 13
        83.6652 | 14
        84.7481 | 2
        87.8978 | 4
        90.9650 | 13
        95.8264 | 15
        96.9153 | 2
       101.0824 | 4
       104.1489 | 13
       105.2395 | 14
       106.3322 | 2
       110.0826 | 3
       113.1496 | 13
       114.0908 | 14
       115.1831 | 2
       117.9998 | 4
       121.0665 | 13
       122.5789 | 14
       123.6670 | 2
       127.2839 | 3
       130.3502 | 13
       131.1097 | 15
       132.2010 | 2
       134.9172 | 3
       137.9842 | 13
       139.4673 | 14
       140.5510 | 2
       144.6181 | 4
       147.6847 | 13
       148.6548 | 14
       149.7349 | 2
       153.3849 | 3
       156.4520 | 13
       157.0588 | 14
       158.1521 | 2
       161.8189 | 4
       164.8857 | 13
       165.8283 | 14
       166.9189 | 2
       170.9195 | 3
       173.9862 | 13
       174.4442 | 14
       175.5361 | 2
       179.1861 | 4
       182.2530 | 13
       183.9181 | 15
       185.0033 | 2
       188.4370 | 4
       191.5040 | 13
       191.9313 | 15
       193.0203 | 2
       195.8539 | 3
       198.9204 | 13
       199.4072 | 14
       200.4875 | 2
       204.6217 | 4
       207.6880 | 13
       208.3873 | 15
       209.4717 | 2
       212.8716 | 3
       215.9385 | 13
       216.3057 | 14
       217.3883 | 2
       220.9552 | 4
       224.0220 | 13
       224.7187 | 14
       225.8052 | 2
       228.4888 | 3
       231.5557 | 13
       231.9521 | 14
       233.0388 | 2
       235.8562 | 4
       238.9226 | 13
       239.7109 | 14
       240.8064 | 2
       244.9234 | 3
       247.9905 | 13
       248.4179 | 14
       249.5068 | 2
       252.4403 | 3
       255.5070 | 13
       255.9339 | 14
       257.0239 | 2
       260.9069 | 4
       263.9739 | 13
       264.8246 | 15
       265.9076 | 2
       269.1075 | 3
       272.1746 | 13
       272.5720 | 14
       273.6580 | 2
       277.0913 | 4
       280.1584 | 13
       283.2384 | 15
       284.3252 | 2
       287.4254 | 4
       290.4920 | 13
       291.2495 | 14
       292.3421 | 2
       295.6922 | 3
       298.7591 | 13
       299.0947 | 14
       300.1759 | 2
       303.4761 | 4
       306.5427 | 13
       307.3012 | 15
       308.3930 | 2
       312.1766 | 3
       315.2431 | 13
       315.8210 | 14
       316.9100 | 2
       320.9270 | 4
       323.9938 | 13
       326.0187 | 15
       327.1106 | 2
       329.8441 | 3
       332.9112 | 13
       333.8202 | 14
       334.9113 | 2
       338.0281 | 3
       341.0944 | 13
       341.9456 | 14
       343.0282 | 2
       346.4785 | 4
       349.5452 | 13
       350.3959 | 14
       351.4787 | 2
       355.6454 | 4
       358.7125 | 13
       359.9524 | 14
       361.0460 | 2
       363.8462 | 3
       366.9132 | 13
       367.4301 | 14
       368.5128 | 2
       371.3797 | 4
       374.4464 | 13
       375.1456 | 14
       376.2302 | 2
       379.5136 | 3
       382.5800 | 13
       383.4312 | 14
       384.5138 | 2
       387.2810 | 3
       390.3474 | 13
       391.0157 | 14
       392.0977 | 2
       395.7481 | 4
       398.8145 | 13
       399.3003 | 14
       400.3810 | 2
       404.0147 | 3
       407.0817 | 13
       407.6881 | 14
       408.7816 | 2
       412.0823 | 4
       415.1481 | 13
       416.3878 | 14
