Session Marker Log - Subject 036 - PRE Assessment
Date/Time: 2025-08-11 19:26:43
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
       187.5209 | 32
       191.6541 | 48
       194.7210 | 208
       197.0550 | 240
       198.1383 | 32
       201.5216 | 64
       204.5881 | 208
       205.6512 | 224
       206.7388 | 32
       209.6551 | 64
       212.7221 | 208
       213.4229 | 224
       214.5055 | 32
       218.4392 | 48
       221.5057 | 208
       222.4490 | 224
       223.5392 | 32
       227.2895 | 64
       230.3563 | 208
       231.0267 | 224
       232.1229 | 32
       235.5905 | 48
       238.6568 | 208
       239.3890 | 224
       240.4741 | 32
       243.4906 | 48
       246.5575 | 208
       247.1966 | 224
       248.2910 | 32
       251.8745 | 64
       254.9409 | 208
       255.7614 | 224
       256.8408 | 32
       260.5246 | 48
       263.5916 | 208
       264.1396 | 224
       265.2247 | 32
       268.1586 | 64
       271.2251 | 208
       271.8032 | 224
       272.8921 | 32
       275.7257 | 48
       278.7919 | 208
       279.4280 | 224
       280.5089 | 32
       284.1094 | 64
       287.1763 | 208
       288.2979 | 224
       289.3926 | 32
       293.3430 | 64
       296.4093 | 208
       297.0477 | 224
       298.1432 | 32
       301.1602 | 48
       304.2264 | 208
       304.8370 | 224
       305.9265 | 32
       310.0608 | 64
       313.1271 | 208
       313.7359 | 224
       314.8271 | 32
       318.1110 | 48
       321.1775 | 208
       321.8165 | 224
       322.9111 | 32
       326.9780 | 64
       330.0453 | 208
       330.4752 | 224
       331.5618 | 32
       334.3284 | 48
       337.3954 | 208
       338.0355 | 224
       339.1285 | 32
       343.0455 | 64
       346.1124 | 208
       346.5698 | 224
       347.6622 | 32
       350.4796 | 48
       353.5462 | 208
       354.2225 | 224
       355.3130 | 32
       359.4129 | 48
       362.4801 | 208
       363.2406 | 224
       364.3308 | 32
       367.2464 | 64
       370.3139 | 208
       370.9549 | 224
       372.0474 | 32
       374.9137 | 48
       377.9806 | 208
       378.4091 | 224
       379.4973 | 32
       382.4307 | 64
       385.4976 | 208
       386.2297 | 224
       387.3148 | 32
       391.0646 | 64
       394.1316 | 208
       394.6508 | 224
       395.7317 | 32
       399.8819 | 48
       402.9486 | 208
       404.3128 | 240
       405.3987 | 32
       409.5321 | 64
       412.5995 | 208
       413.3631 | 224
       414.4490 | 32
       417.8995 | 48
       420.9663 | 208
       421.5454 | 224
       422.6329 | 32
       426.2332 | 64
       429.2997 | 208
       430.2703 | 224
       431.3504 | 32
       434.1835 | 48
       437.2503 | 208
       437.6786 | 224
       438.7672 | 32
       441.6507 | 48
       444.7175 | 208
       445.2989 | 224
       446.3845 | 32
       449.5679 | 64
       452.6348 | 208
       453.3056 | 224
       454.4013 | 32
       457.7516 | 64
       460.8184 | 208
       461.1260 | 240
       462.2183 | 32
       465.8686 | 48
       468.9354 | 208
       469.4246 | 224
       470.5190 | 32
       474.3521 | 64
       477.4189 | 208
       478.0281 | 224
       479.1190 | 32
       482.4363 | 48
       485.5030 | 208
       486.3541 | 224
       487.4364 | 32
       490.4865 | 48
       493.5531 | 208
       494.3442 | 224
       495.4370 | 32
       498.5201 | 64
       501.5871 | 208
       502.0759 | 224
       503.1702 | 32
       506.3542 | 48
       509.4206 | 208
       509.7294 | 224
       510.8210 | 32
       514.3710 | 64
       517.4376 | 208
       517.9862 | 224
