Session Marker Log - Subject 002 - PRE Assessment
Date/Time: 2025-07-06 21:23:03
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
         7.2780 | 32
        11.2618 | 48
        14.3282 | 208
        15.1779 | 224
        16.2613 | 32
        20.2118 | 64
        23.2788 | 208
        25.1250 | 224
        26.2123 | 32
        29.7458 | 64
        32.8127 | 208
        33.8435 | 224
        34.9291 | 32
        38.1794 | 48
        41.2461 | 208
        42.2773 | 224
        43.3631 | 32
        46.3968 | 64
        49.4632 | 208
        50.3447 | 224
        51.4303 | 32
        55.5472 | 48
        58.6137 | 208
        59.3728 | 224
        60.4641 | 32
        63.5975 | 48
        66.6652 | 208
        67.2430 | 224
        68.3308 | 32
        71.9144 | 64
        74.9814 | 208
        75.6812 | 224
        76.7647 | 32
        80.8151 | 48
        83.8819 | 208
        84.5203 | 224
        85.6153 | 32
        88.6157 | 64
        91.6828 | 208
        92.6534 | 224
        93.7328 | 32
        97.3161 | 48
       100.3828 | 208
       101.1135 | 224
       102.1995 | 32
       105.9664 | 64
       109.0330 | 208
       109.8861 | 224
       110.9668 | 32
       115.0504 | 64
       118.1171 | 208
       118.8757 | 224
       119.9668 | 32
       123.2180 | 48
       126.2838 | 208
       127.0438 | 224
       128.1343 | 32
       131.3011 | 64
       134.3682 | 208
       135.1258 | 224
       136.2178 | 32
       139.8521 | 48
       142.9184 | 208
       143.6202 | 224
       144.7021 | 32
       148.0354 | 64
       151.1019 | 208
       151.8628 | 224
       152.9523 | 32
       155.7024 | 48
       158.7691 | 208
       159.4691 | 224
       160.5526 | 32
       163.5028 | 64
       166.5695 | 208
       167.2685 | 224
       168.3527 | 32
       172.1862 | 48
       175.2536 | 208
       175.8623 | 224
       176.9534 | 32
       179.8535 | 48
       182.9201 | 208
       183.6515 | 224
       184.7375 | 32
       188.7041 | 64
       191.7709 | 208
       193.3142 | 224
       194.4044 | 32
       197.9881 | 48
       201.0543 | 208
       201.6926 | 224
       202.7882 | 32
       205.6381 | 64
       208.7053 | 208
       209.3434 | 224
       210.4387 | 32
       214.0056 | 64
       217.0721 | 208
       217.6815 | 224
       218.7725 | 32
       221.8060 | 48
       224.8728 | 208
       225.6930 | 224
       226.7727 | 32
       230.0563 | 64
       233.1233 | 208
       233.7920 | 224
       234.8734 | 32
       238.4898 | 48
       241.5570 | 208
       242.3156 | 224
       243.4073 | 32
       246.9405 | 64
       250.0072 | 208
       250.5837 | 224
       251.6742 | 32
       255.4244 | 48
       258.4914 | 208
       259.2200 | 224
       260.3077 | 32
       263.6917 | 48
       266.7583 | 208
       267.5161 | 224
       268.6079 | 32
       271.4917 | 64
       274.5587 | 208
       275.2290 | 224
       276.3084 | 32
       279.2254 | 64
       282.2920 | 208
       283.0204 | 224
       284.1087 | 32
       287.0595 | 48
       290.1260 | 208
       290.8841 | 224
       291.9760 | 32
       295.5440 | 64
       298.6097 | 208
       299.3096 | 224
       300.3932 | 32
       303.9770 | 48
       307.0431 | 208
       307.7765 | 224
       308.8609 | 32
       312.7603 | 48
       315.8274 | 208
       316.4943 | 224
       317.5772 | 32
       321.0277 | 64
       324.0940 | 208
       324.9734 | 224
       326.0610 | 32
       329.2782 | 48
       332.3448 | 208
       333.0747 | 224
       334.1615 | 32
       337.3449 | 64
       340.4119 | 208
       340.9613 | 224
