Session Marker Log - Subject 003 - POST Assessment
Date/Time: 2025-07-07 18:32:26
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
         3.5604 | 2
         7.3947 | 3
        10.4611 | 13
        11.3992 | 14
        12.4782 | 2
        16.5951 | 4
        19.6617 | 13
        20.6624 | 15
        21.7452 | 2
        25.7620 | 4
        28.8292 | 13
        29.8605 | 15
        30.9453 | 2
        34.2123 | 3
        37.2796 | 13
        38.5509 | 14
        39.6459 | 2
        43.0630 | 4
        46.1300 | 13
        57.6230 | 15
        58.7135 | 2
        62.8473 | 3
        65.9138 | 13
        66.7025 | 14
        67.7974 | 2
        71.0309 | 3
        74.0976 | 13
        74.6752 | 14
        75.7646 | 2
        78.7482 | 4
        81.8150 | 13
        82.2327 | 14
        83.3148 | 2
        86.0985 | 3
        89.1653 | 13
        89.8024 | 14
        90.8822 | 2
        93.6321 | 4
        96.6988 | 13
        97.9407 | 14
        99.0326 | 2
       102.1494 | 3
       105.2158 | 13
       106.0035 | 14
       107.0825 | 2
       109.8829 | 4
       112.9496 | 13
       114.4924 | 15
       115.5835 | 2
       118.6165 | 4
       121.6835 | 13
       122.4723 | 14
       123.5673 | 2
       126.9506 | 3
       130.0172 | 13
       133.8800 | 14
       134.9678 | 2
       137.7010 | 4
       140.7680 | 13
       141.1645 | 14
       142.2511 | 2
       145.4850 | 3
       148.5519 | 13
       148.9485 | 14
       150.0354 | 2
       152.8522 | 4
       155.9185 | 13
       156.4058 | 14
       157.5021 | 2
       160.9524 | 3
       164.0195 | 13
       164.5971 | 14
       165.6860 | 2
       169.3361 | 4
       172.4030 | 13
       173.3720 | 14
       174.4531 | 2
       177.2030 | 3
       180.2698 | 13
       180.8470 | 14
       181.9371 | 2
       185.0870 | 3
       188.1534 | 13
       189.0925 | 14
       190.1875 | 2
       194.1204 | 4
       197.1878 | 13
       197.5548 | 15
       198.6543 | 2
       202.7382 | 3
       205.8048 | 13
       206.1421 | 14
       207.2217 | 2
       209.9549 | 4
       213.0217 | 13
       213.3287 | 15
       214.4214 | 2
       218.4723 | 4
       221.5390 | 13
       222.5389 | 14
       223.6231 | 2
       226.4226 | 3
       229.4893 | 13
       230.3403 | 14
       231.4226 | 2
       234.3567 | 4
       237.4230 | 13
       239.4769 | 15
       240.5569 | 2
       244.2404 | 3
       247.3071 | 13
       247.9454 | 14
       249.0400 | 2
       252.0739 | 4
       255.1405 | 13
       256.2604 | 14
       257.3575 | 2
       260.9408 | 3
       264.0080 | 13
       265.3082 | 15
       266.3915 | 2
       269.9748 | 3
       273.0416 | 13
       273.7406 | 14
       274.8248 | 2
       277.8914 | 4
       280.9589 | 13
       281.9289 | 14
       283.0088 | 2
       286.3592 | 4
       289.4261 | 13
       290.0629 | 14
       291.1594 | 2
       294.4269 | 3
       297.4929 | 13
       298.0418 | 14
       299.1259 | 2
       302.4265 | 4
       305.4931 | 13
       306.0111 | 14
       307.0934 | 2
       310.7603 | 3
       313.8267 | 13
       314.0725 | 14
       315.1609 | 2
       318.0609 | 3
       321.1271 | 13
       321.5244 | 14
       322.6108 | 2
       325.6448 | 4
       328.7110 | 13
       329.2892 | 14
       330.3946 | 2
       334.4279 | 3
       337.4950 | 13
       337.9810 | 14
       339.0617 | 2
       341.8287 | 4
       344.8956 | 13
       345.2317 | 15
