Session Marker Log - Subject 007 - POST Assessment
Date/Time: 2025-07-08 18:08:26
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        19.7966 | 2
        23.7300 | 3
        26.7968 | 13
        27.6781 | 14
        28.7637 | 2
        31.6305 | 4
        34.6971 | 13
        35.9724 | 14
        37.0640 | 2
        40.1977 | 4
        43.2646 | 13
        45.3237 | 15
        46.4143 | 2
        50.2145 | 3
        53.2818 | 13
        54.0107 | 14
        55.0982 | 2
        59.1819 | 4
        62.2489 | 13
        63.1332 | 14
        64.2155 | 2
        66.9827 | 3
        70.0491 | 13
        71.1722 | 14
        72.2662 | 2
        75.9830 | 3
        79.0494 | 13
        80.5035 | 15
        81.5831 | 2
        85.2336 | 4
        88.2998 | 13
        89.1192 | 14
        90.2006 | 2
        93.7503 | 3
        96.8171 | 13
        97.7276 | 14
        98.8172 | 2
       101.6174 | 4
       104.6844 | 13
       105.7736 | 14
       106.8680 | 2
       111.0180 | 3
       114.0847 | 13
       114.9351 | 14
       116.0183 | 2
       119.4352 | 4
       122.5019 | 13
       123.5021 | 14
       124.5853 | 2
       127.7520 | 4
       130.8188 | 13
       131.4272 | 14
       132.5189 | 2
       136.2527 | 3
       139.3194 | 13
       140.3803 | 14
       141.4693 | 2
       144.5194 | 4
       147.5868 | 13
       149.4611 | 14
       150.5535 | 2
       154.6036 | 3
       157.6708 | 13
       158.6743 | 14
       159.7543 | 2
       163.8709 | 4
       166.9375 | 13
       169.4202 | 14
       170.5044 | 2
       173.1877 | 3
       176.2548 | 13
       177.8887 | 14
       178.9713 | 2
       182.1050 | 4
       185.1717 | 13
       186.4147 | 14
       187.5051 | 2
       191.4224 | 3
       194.4891 | 13
       195.3118 | 14
       196.4061 | 2
       200.4061 | 3
       203.4724 | 13
       205.0482 | 14
       206.1395 | 2
       208.8565 | 4
       211.9231 | 13
       215.1286 | 14
       216.2238 | 2
       219.8240 | 3
       222.8902 | 13
       223.8031 | 14
       224.8906 | 2
       228.4076 | 4
       231.4739 | 13
       232.3305 | 14
       233.4246 | 2
       236.8084 | 4
       239.8748 | 13
       242.9891 | 14
       244.0750 | 2
       247.4415 | 3
       250.5086 | 13
       251.6622 | 14
       252.7418 | 2
       255.5423 | 4
       258.6090 | 13
       259.3688 | 14
       260.4591 | 2
       263.5258 | 3
       266.5924 | 13
       267.6533 | 14
       268.7431 | 2
       272.7762 | 4
       275.8432 | 13
       277.3585 | 15
       278.4434 | 2
       281.3768 | 3
       284.4432 | 13
       285.5649 | 14
       286.6604 | 2
       290.0615 | 3
       293.1274 | 13
       293.9183 | 14
       295.0107 | 2
       298.6110 | 4
       301.6780 | 13
       303.0394 | 14
       304.1280 | 2
       306.8616 | 4
       309.9283 | 13
       310.6572 | 14
       311.7453 | 2
       315.4784 | 3
       318.5452 | 13
       321.2347 | 14
       322.3288 | 2
       325.4955 | 4
       328.5625 | 13
       330.0493 | 14
       331.1294 | 2
       335.0307 | 3
       338.0962 | 13
       340.0660 | 14
       341.1464 | 2
       344.8971 | 3
       347.9639 | 13
       348.7820 | 14
       349.8638 | 2
       352.9308 | 4
       355.9972 | 13
       356.9681 | 14
       358.0473 | 2
       361.9646 | 3
       365.0312 | 13
       365.8509 | 14
       366.9311 | 2
       370.9486 | 4
       374.0151 | 13
       375.0751 | 14
