Session Marker Log - Subject 040 - PRE Assessment
Date/Time: 2025-08-19 13:29:59
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
       145.2352 | 32
       148.8357 | 48
       151.9025 | 208
       154.3566 | 224
       155.4367 | 32
       158.1525 | 64
       161.2197 | 208
       163.4617 | 224
       164.5528 | 32
       167.9202 | 64
       170.9872 | 208
       172.1413 | 224
       173.2371 | 32
       176.5537 | 48
       179.6204 | 208
       181.1661 | 224
       182.2538 | 32
       185.3876 | 64
       188.4547 | 208
       191.9018 | 224
       192.9882 | 32
       196.9380 | 48
       200.0050 | 208
       201.9749 | 224
       203.0557 | 32
       206.9889 | 48
       210.0551 | 208
       212.0837 | 224
       213.1723 | 32
       216.5393 | 64
       219.6061 | 208
       223.4490 | 224
       224.5396 | 32
       227.4397 | 48
       230.5064 | 208
       231.9034 | 224
       232.9902 | 32
       236.7737 | 64
       239.8405 | 208
       241.6883 | 224
       242.7736 | 32
       246.4912 | 48
       249.5578 | 208
       252.4333 | 224
       253.5245 | 32
       257.3915 | 64
       260.4584 | 208
       261.6460 | 224
       262.7247 | 32
       266.7582 | 64
       269.8260 | 208
       271.5819 | 224
       272.6761 | 32
       275.6255 | 48
       278.6933 | 208
       281.7211 | 224
       282.8094 | 32
       285.7928 | 64
       288.8597 | 208
       291.0674 | 224
       292.1600 | 32
       295.3600 | 48
       298.4267 | 208
       299.6999 | 224
       300.7935 | 32
       303.7273 | 64
       306.7935 | 208
       307.7928 | 224
       308.8776 | 32
       311.6776 | 48
       314.7447 | 208
       315.8382 | 224
       316.9275 | 32
       319.7447 | 64
       322.8117 | 208
       323.7128 | 224
       324.7948 | 32
       328.0119 | 48
       331.0786 | 208
       332.1717 | 224
       333.2617 | 32
       336.6284 | 48
       339.6955 | 208
       340.7576 | 224
       341.8458 | 32
       345.2790 | 64
       348.3460 | 208
       350.4089 | 224
       351.4962 | 32
       354.4126 | 48
       357.4805 | 208
       359.8989 | 224
       360.9800 | 32
       365.0803 | 64
       368.1470 | 208
       371.5100 | 224
       372.5971 | 32
       376.4980 | 64
       379.5645 | 208
       380.5984 | 224
       381.6812 | 32
       385.7829 | 48
       388.8480 | 208
       391.0567 | 224
       392.1484 | 32
       395.1483 | 64
       398.2153 | 208
       400.7195 | 224
       401.7986 | 32
       404.8325 | 48
       407.8995 | 208
       410.4193 | 224
       411.4998 | 32
       414.2495 | 64
       417.3162 | 208
       418.1984 | 224
       419.2829 | 32
       422.0333 | 48
       425.1000 | 208
       426.2839 | 224
       427.3670 | 32
       431.2004 | 48
       434.2667 | 208
       436.3234 | 224
       437.4172 | 32
       441.2676 | 64
       444.3343 | 208
       445.1581 | 224
       446.2512 | 32
       449.3010 | 64
       452.3686 | 208
       453.1302 | 224
       454.2181 | 32
       457.2017 | 48
       460.2685 | 208
       462.8103 | 224
       463.9019 | 32
       466.9195 | 64
       469.9860 | 208
       471.0793 | 224
       472.1695 | 32
       475.8361 | 48
       478.9028 | 208
       482.1186 | 224
       483.2032 | 32
       487.2864 | 48
       490.3533 | 208
       492.4746 | 224
       493.5541 | 32
       497.0040 | 64
       500.0704 | 208
       500.9788 | 224
       502.0703 | 32
       504.8711 | 48
       507.9381 | 208
       508.8211 | 224
       509.9041 | 32
       513.1045 | 64
       516.1716 | 208
       516.8118 | 224
