Session Marker Log - Subject 025 - PRE Assessment
Date/Time: 2025-07-22 18:10:05
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
       114.7335 | 2
       118.6839 | 3
       121.7507 | 13
       124.0218 | 14
       125.1176 | 2
       129.0346 | 4
       132.1013 | 13
       134.8024 | 15
       135.8848 | 2
       140.0182 | 4
       143.0849 | 13
       144.2072 | 15
       145.3021 | 2
       148.6520 | 3
       151.7191 | 13
       153.1137 | 14
       154.2022 | 2
       158.1704 | 4
       161.2360 | 13
       162.3067 | 14
       163.3864 | 2
       166.2536 | 3
       169.3198 | 13
       170.6556 | 14
       171.7366 | 2
       174.6034 | 3
       177.6705 | 13
       178.8265 | 14
       179.9202 | 2
       183.1210 | 4
       186.1875 | 13
       187.4017 | 14
       188.4878 | 2
       192.4375 | 3
       195.5049 | 13
       196.4467 | 14
       197.5377 | 2
       200.6384 | 4
       203.7046 | 13
       204.4345 | 15
       205.5217 | 2
       209.4552 | 3
       212.5221 | 13
       213.5565 | 14
       214.6388 | 2
       218.7228 | 4
       221.7894 | 13
       223.2429 | 14
       224.3229 | 2
       227.2074 | 4
       230.2731 | 13
       231.1859 | 14
       232.2732 | 2
       235.5898 | 3
       238.6567 | 13
       239.5380 | 14
       240.6237 | 2
       243.5571 | 4
       246.6240 | 13
       247.5980 | 15
       248.6908 | 2
       252.0238 | 3
       255.0907 | 13
       256.1528 | 14
       257.2412 | 2
       261.3581 | 4
       264.4248 | 13
       265.1239 | 15
       266.2083 | 2
       269.5256 | 3
       272.5917 | 13
       273.5344 | 14
       274.6254 | 2
       277.3588 | 4
       280.4255 | 13
       281.9102 | 14
       282.9921 | 2
       286.6259 | 3
       289.6928 | 13
       290.5460 | 14
       291.6260 | 2
       295.5098 | 3
       298.5765 | 13
       300.1832 | 15
       301.2766 | 2
       304.4267 | 4
       307.4939 | 13
       308.9203 | 15
       310.0104 | 2
       313.8277 | 3
       316.8942 | 13
       317.7794 | 14
       318.8606 | 2
       322.6945 | 4
       325.7615 | 13
       327.2190 | 14
       328.3112 | 2
       331.9119 | 4
       334.9783 | 13
       335.7402 | 14
       336.8287 | 2
       340.8789 | 3
       343.9454 | 13
       344.8557 | 14
       345.9455 | 2
       349.9626 | 4
       353.0296 | 13
       354.0029 | 14
       355.0957 | 2
       358.8462 | 3
       361.9132 | 13
       363.3695 | 14
       364.4633 | 2
       367.6969 | 4
       370.7639 | 13
       371.7668 | 14
       372.8475 | 2
       376.1142 | 3
       379.1811 | 13
       379.8827 | 14
       380.9641 | 2
       384.7645 | 3
       387.8312 | 13
       388.5628 | 14
       389.6484 | 2
       392.3811 | 4
       395.4486 | 13
       396.6919 | 14
       397.7818 | 2
       401.5490 | 4
       404.6156 | 13
       405.7381 | 14
       406.8320 | 2
       409.6168 | 3
       412.6826 | 13
       413.8055 | 14
       414.8992 | 2
       418.7997 | 4
       421.8666 | 13
       422.5640 | 14
       423.6500 | 2
       427.3839 | 3
       430.4500 | 13
       432.1811 | 15
       433.2670 | 2
       436.2501 | 3
       439.3171 | 13
       440.1401 | 14
       441.2343 | 2
       444.8339 | 4
       447.9010 | 13
       450.2628 | 14
       451.3512 | 2
       454.3851 | 3
       457.4516 | 13
       458.2727 | 14
       459.3685 | 2
       462.3185 | 4
       465.3856 | 13
       466.2066 | 14
