Session Marker Log - Subject 004 - PRE Assessment
Date/Time: 2025-07-08 09:39:34
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
         8.2274 | 32
        12.0282 | 48
        15.0946 | 208
        18.1721 | 240
        19.2618 | 32
        22.2120 | 64
        25.2787 | 208
        27.9359 | 224
        29.0291 | 32
        33.1125 | 64
        36.1790 | 208
        37.5090 | 224
        38.5960 | 32
        41.7128 | 48
        44.7793 | 208
        49.0387 | 224
        50.1298 | 32
        54.2967 | 64
        57.3638 | 208
        59.3296 | 224
        60.4139 | 32
        64.4807 | 48
        67.5473 | 208
        69.4216 | 224
        70.5141 | 32
        74.3314 | 48
        77.3983 | 208
        79.8157 | 224
        80.8981 | 32
        83.9319 | 64
        86.9984 | 208
        88.6021 | 224
        89.6822 | 32
        93.4158 | 48
        96.4823 | 208
        97.7831 | 224
        98.8661 | 32
       101.5993 | 64
       104.6660 | 208
       105.4227 | 224
       106.5159 | 32
       110.4333 | 48
       113.4999 | 208
       114.4376 | 224
       115.5164 | 32
       119.0503 | 64
       122.1168 | 208
       123.3864 | 224
       124.4673 | 32
       127.2344 | 64
       130.3007 | 208
       132.0214 | 224
       133.1013 | 32
       136.7349 | 48
       139.8012 | 208
       141.3731 | 224
       142.4683 | 32
       145.3683 | 64
       148.4351 | 208
       149.8310 | 224
       150.9190 | 32
       154.6524 | 48
       157.7187 | 208
       159.2617 | 224
       160.3522 | 32
       164.0024 | 64
       167.0695 | 208
       168.1578 | 224
       169.2530 | 32
       172.4361 | 48
       175.5030 | 208
       176.5018 | 224
       177.5866 | 32
       181.3868 | 64
       184.4536 | 208
       185.3059 | 224
       186.3868 | 32
       189.5539 | 48
       192.6209 | 208
       194.2834 | 224
       195.3708 | 32
       198.8378 | 48
       201.9043 | 208
       203.0565 | 224
       204.1380 | 32
       206.9716 | 64
       210.0382 | 208
       212.0637 | 224
       213.1551 | 32
       215.8718 | 48
       218.9387 | 208
       221.6869 | 224
       222.7724 | 32
       226.6896 | 64
       229.7559 | 208
       230.7292 | 224
       231.8228 | 32
       234.9565 | 64
       238.0231 | 208
       239.6563 | 224
       240.7398 | 32
       243.8232 | 48
       246.8898 | 208
       248.3134 | 224
       249.4073 | 32
       253.1409 | 64
       256.2076 | 208
       258.4740 | 224
       259.5572 | 32
       262.5079 | 48
       265.5746 | 208
       266.4224 | 224
       267.5079 | 32
       270.2415 | 64
       273.3083 | 208
       274.3372 | 224
       275.4250 | 32
       279.2920 | 48
       282.3586 | 208
       283.3265 | 224
       284.4091 | 32
       287.7428 | 48
       290.8094 | 208
       292.5626 | 224
       293.6425 | 32
       296.9094 | 64
       299.9759 | 208
       300.9741 | 224
       302.0597 | 32
       305.5929 | 64
       308.6598 | 208
       309.9297 | 224
       311.0099 | 32
       314.3772 | 48
       317.4435 | 208
       318.5947 | 224
       319.6774 | 32
       322.4108 | 64
       325.4778 | 208
       326.5368 | 224
       327.6276 | 32
       330.4444 | 48
       333.5115 | 208
       335.3836 | 224
       336.4781 | 32
       340.3455 | 48
       343.4117 | 208
       344.2018 | 224
       345.2955 | 32
       349.2789 | 64
       352.3459 | 208
       353.3746 | 224
       354.4627 | 32
       358.4130 | 48
       361.4793 | 208
       365.2832 | 224
       366.3628 | 32
       369.1466 | 64
       372.2135 | 208
       373.0316 | 224
