Session Marker Log - Subject 015 - PRE Assessment
Date/Time: 2025-07-10 15:43:36
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        72.9144 | 2
        75.6986 | 3
        78.7647 | 13
        80.5791 | 14
        81.6649 | 2
        85.6990 | 4
        88.7652 | 13
        90.3126 | 14
        91.3992 | 2
        95.3324 | 4
        98.3992 | 13
        99.8826 | 14
       100.9658 | 2
       105.0832 | 3
       108.1496 | 13
       109.6966 | 14
       110.7830 | 2
       114.5000 | 4
       117.5668 | 13
       118.3876 | 14
       119.4670 | 2
       122.4012 | 3
       125.4672 | 13
       127.7367 | 14
       128.8173 | 2
       132.0173 | 3
       135.0843 | 13
       136.8746 | 14
       137.9677 | 2
       142.0852 | 4
       145.1515 | 13
       146.4241 | 14
       147.5186 | 2
       151.0855 | 3
       154.1519 | 13
       155.3982 | 14
       156.4857 | 2
       160.1024 | 4
       163.1689 | 13
       163.8385 | 14
       164.9195 | 2
       167.6194 | 3
       170.6863 | 13
       171.8674 | 14
       172.9533 | 2
       176.9203 | 4
       179.9870 | 13
       180.6870 | 14
       181.7705 | 2
       185.9371 | 4
       189.0043 | 13
       191.0342 | 14
       192.1206 | 2
       194.8711 | 3
       197.9379 | 13
       199.3619 | 14
       200.4547 | 2
       204.2380 | 4
       207.3051 | 13
       207.9132 | 14
       209.0049 | 2
       212.9052 | 3
       215.9720 | 13
       216.7299 | 14
       217.8225 | 2
       221.5387 | 4
       224.6056 | 13
       226.1507 | 14
       227.2392 | 2
       231.1403 | 3
       234.2059 | 13
       236.0527 | 14
       237.1398 | 2
       240.7902 | 4
       243.8569 | 13
       244.8889 | 14
       245.9733 | 2
       249.4072 | 3
       252.4740 | 13
       253.6280 | 14
       254.7077 | 2
       258.7576 | 3
       261.8249 | 13
       264.3383 | 14
       265.4246 | 2
       269.3084 | 4
       272.3750 | 13
       273.3765 | 14
       274.4583 | 2
       278.0084 | 3
       281.0753 | 13
       281.8333 | 14
       282.9255 | 2
       286.1255 | 4
       289.1923 | 13
       289.8922 | 14
       290.9760 | 2
       295.0929 | 4
       298.1600 | 13
       299.6762 | 14
       300.7598 | 2
       304.9268 | 3
       307.9931 | 13
       309.8735 | 14
       310.9603 | 2
       314.5440 | 4
       317.6105 | 13
       319.9114 | 14
       320.9944 | 2
       324.1278 | 3
       327.1945 | 13
       328.9217 | 14
       330.0114 | 2
       333.1116 | 4
       336.1779 | 13
       339.5357 | 14
       340.6282 | 2
       344.2957 | 3
       347.3621 | 13
       348.5165 | 14
       349.5957 | 2
       352.8792 | 3
       355.9455 | 13
       357.0371 | 14
       358.1298 | 2
       362.1792 | 4
       365.2463 | 13
       366.9117 | 14
       367.9964 | 2
       371.2464 | 4
       374.3135 | 13
       376.0404 | 14
       377.1300 | 2
       380.9139 | 3
       383.9805 | 13
       385.2513 | 14
       386.3309 | 2
       389.6145 | 4
       392.6811 | 13
       395.2231 | 14
       396.3148 | 2
       399.6486 | 3
       402.7150 | 13
       404.1689 | 14
       405.2486 | 2
       408.0655 | 3
       411.1321 | 13
       412.8291 | 14
       413.9156 | 2
       417.2162 | 4
       420.2827 | 13
       421.3714 | 14
       422.4658 | 2
       425.2663 | 3
       428.3332 | 13
       429.4871 | 14
       430.5661 | 2
       433.2672 | 4
       436.3336 | 13
       439.0261 | 14
