Session Marker Log - Subject 005 - POST Assessment
Date/Time: 2025-07-08 12:02:40
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        16.6951 | 2
        19.4787 | 3
        22.5451 | 13
        23.4229 | 14
        24.5122 | 2
        27.5788 | 4
        30.6457 | 13
        31.2237 | 14
        32.3129 | 2
        36.2624 | 4
        39.3296 | 13
        39.9086 | 14
        40.9966 | 2
        44.2631 | 3
        47.3297 | 13
        48.6056 | 14
        49.6967 | 2
        52.9472 | 4
        56.0136 | 13
        56.7411 | 14
        57.8307 | 2
        60.8808 | 3
        63.9472 | 13
        64.7670 | 14
        65.8475 | 2
        69.8148 | 3
        72.8815 | 13
        73.6089 | 14
        74.6980 | 2
        77.9983 | 4
        81.0652 | 13
        82.1253 | 14
        83.2152 | 2
        86.2819 | 3
        89.3491 | 13
        90.1981 | 14
        91.2822 | 2
        94.3661 | 4
        97.4329 | 13
        98.3725 | 14
        99.4663 | 2
       103.1332 | 3
       106.1998 | 13
       107.0484 | 14
       108.1331 | 2
       111.3166 | 4
       114.3836 | 13
       114.9012 | 15
       115.9837 | 2
       119.1504 | 4
       122.2173 | 13
       122.8862 | 14
       123.9675 | 2
       126.8840 | 3
       129.9508 | 13
       130.8583 | 14
       131.9515 | 2
       135.0678 | 4
       138.1344 | 13
       139.1341 | 14
       140.2183 | 2
       143.3348 | 3
       146.4021 | 13
       147.4032 | 14
       148.4854 | 2
       151.4025 | 4
       154.4686 | 13
       155.4987 | 14
       156.5853 | 2
       160.0530 | 3
       163.1193 | 13
       163.3041 | 14
       164.3860 | 2
       167.8029 | 4
       170.8699 | 13
       171.3571 | 15
       172.4365 | 2
       175.2035 | 3
       178.2700 | 13
       178.7262 | 14
       179.8202 | 2
       182.7208 | 3
       185.7870 | 13
       186.5463 | 14
       187.6374 | 2
       191.7542 | 4
       194.8210 | 13
       195.5200 | 14
       196.6044 | 2
       200.1715 | 3
       203.2386 | 13
       204.1771 | 14
       205.2713 | 2
       209.0386 | 4
       212.1054 | 13
       213.2577 | 14
       214.3390 | 2
       217.8394 | 4
       220.9060 | 13
       221.8463 | 14
       222.9394 | 2
       226.5394 | 3
       229.6064 | 13
       230.2741 | 14
       231.3560 | 2
       234.7066 | 4
       237.7731 | 13
       238.0789 | 14
       239.1734 | 2
       242.8570 | 3
       245.9240 | 13
       246.4399 | 14
       247.5241 | 2
       250.6908 | 4
       253.7576 | 13
       254.5768 | 14
       255.6576 | 2
       259.7579 | 3
       262.8248 | 13
       263.6758 | 14
       264.7579 | 2
       268.8250 | 3
       271.8920 | 13
       272.5289 | 14
       273.6085 | 2
       276.9917 | 4
       280.0586 | 13
       280.6965 | 14
       281.7923 | 2
       285.6591 | 4
       288.7258 | 13
       289.0319 | 14
       290.1257 | 2
       294.1265 | 3
       297.1929 | 13
       297.5280 | 14
       298.6103 | 2
       302.1600 | 4
       305.2267 | 13
       305.8357 | 14
       306.9269 | 2
       309.9269 | 3
       312.9939 | 13
       313.6922 | 14
       314.7773 | 2
       317.7774 | 3
       320.8444 | 13
       321.7534 | 14
       322.8447 | 2
       326.7777 | 4
       329.8448 | 13
       330.3925 | 15
       331.4782 | 2
       335.4615 | 3
       338.5286 | 13
       339.1953 | 14
       340.2787 | 2
       343.2791 | 4
       346.3456 | 13
       347.1954 | 14
