Session Marker Log - Subject 039 - POST Assessment
Date/Time: 2025-08-19 12:11:57
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        15.3286 | 2
        19.1789 | 3
        22.2454 | 13
        23.3597 | 14
        24.4457 | 2
        27.1955 | 4
        30.2625 | 13
        31.7798 | 15
        32.8627 | 2
        36.1296 | 4
        39.1963 | 13
        40.5639 | 14
        41.6462 | 2
        45.3300 | 3
        48.3967 | 13
        49.5173 | 14
        50.5965 | 2
        54.7302 | 4
        57.7973 | 13
        58.7375 | 14
        59.8307 | 2
        62.5641 | 3
        65.6309 | 13
        67.3860 | 14
        68.4811 | 2
        71.9313 | 3
        74.9979 | 13
        77.1767 | 15
        78.2645 | 2
        81.4316 | 4
        84.4987 | 13
        85.5906 | 14
        86.6820 | 2
        90.0660 | 3
        93.1328 | 13
        94.4657 | 14
        95.5493 | 2
        99.3163 | 4
       102.3828 | 13
       103.8702 | 14
       104.9501 | 2
       109.0332 | 3
       112.1004 | 13
       113.1906 | 14
       114.2836 | 2
       117.7007 | 4
       120.7674 | 13
       122.4005 | 14
       123.4839 | 2
       126.8509 | 4
       129.9175 | 13
       131.4032 | 14
       132.4843 | 2
       136.6016 | 3
       139.6678 | 13
       141.2722 | 14
       142.3516 | 2
       145.8685 | 4
       148.9353 | 13
       150.8382 | 14
       151.9188 | 2
       155.2857 | 3
       158.3523 | 13
       161.0136 | 14
       162.1026 | 2
       165.3364 | 4
       168.4032 | 13
       170.7960 | 14
       171.8866 | 2
       175.7537 | 3
       178.8201 | 13
       180.5457 | 14
       181.6372 | 2
       185.4037 | 4
       188.4706 | 13
       189.7135 | 15
       190.8040 | 2
       193.9544 | 3
       197.0214 | 13
       198.6620 | 14
       199.7545 | 2
       202.4380 | 3
       205.5054 | 13
       208.3790 | 14
       209.4714 | 2
       213.6388 | 4
       216.7056 | 13
       217.9772 | 14
       219.0724 | 2
       222.9728 | 3
       226.0396 | 13
       229.7915 | 14
       230.8732 | 2
       234.5731 | 4
       237.6398 | 13
       238.5206 | 14
       239.6070 | 2
       242.8738 | 4
       245.9402 | 13
       247.6628 | 14
       248.7572 | 2
       251.5915 | 3
       254.6573 | 13
       258.7971 | 15
       259.8914 | 2
       262.9080 | 4
       265.9747 | 13
       266.8236 | 14
       267.9079 | 2
       270.7580 | 3
       273.8251 | 13
       274.8293 | 14
       275.9084 | 2
       279.3088 | 4
       282.3757 | 13
       283.8611 | 14
       284.9426 | 2
       288.6590 | 3
       291.7262 | 13
       293.8749 | 14
       294.9592 | 2
       298.9433 | 3
       302.0099 | 13
       303.1340 | 15
       304.2269 | 2
       307.7436 | 4
       310.8102 | 13
       312.3530 | 14
       313.4442 | 2
       316.8939 | 4
       319.9605 | 13
       320.9989 | 14
       322.0943 | 2
       326.0456 | 3
       329.1118 | 13
       332.2258 | 14
       333.3126 | 2
       336.4784 | 4
       339.5451 | 13
       340.5466 | 14
       341.6289 | 2
       345.6792 | 3
       348.7460 | 13
       351.1335 | 14
       352.2292 | 2
       355.3965 | 3
       358.4629 | 13
       360.9971 | 14
       362.0799 | 2
       365.3974 | 4
       368.4635 | 13
       369.6770 | 14
       370.7638 | 2
       373.7475 | 3
       376.8138 | 13
       379.7500 | 14
       380.8305 | 2
       383.5642 | 4
       386.6308 | 13
       388.3858 | 14
