Session Marker Log - Subject 001 - POST Assessment
Date/Time: 2025-07-04 23:06:35
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        20.5783 | 2
        24.0120 | 3
        27.0792 | 13
        28.2296 | 14
        28.8120 | 2
        32.0454 | 4
        35.1128 | 13
        36.3832 | 14
        36.9625 | 2
        40.3965 | 4
        43.4630 | 13
        44.3735 | 15
        44.9630 | 2
        48.5138 | 3
        51.5800 | 13
        52.8817 | 14
        53.4638 | 2
        56.9467 | 4
        60.0139 | 13
        60.8038 | 14
        61.3973 | 2
        64.2472 | 3
        67.3141 | 13
        70.9057 | 14
        71.4980 | 2
        74.9145 | 3
        77.9813 | 13
        79.0738 | 14
        79.6651 | 2
        83.3649 | 4
        86.4317 | 13
        87.4311 | 14
        88.0153 | 2
        91.9827 | 3
        95.0489 | 13
        97.4945 | 14
        98.0824 | 2
       102.1996 | 4
       105.2663 | 13
       107.1400 | 14
       107.7330 | 2
       110.6997 | 3
       113.7670 | 13
       115.0970 | 14
       115.6837 | 2
       118.4000 | 4
       121.4668 | 13
       122.7067 | 14
       123.3005 | 2
       126.1677 | 4
       129.2340 | 13
       130.2036 | 14
       130.7847 | 2
       133.8345 | 3
       136.9013 | 13
       138.5950 | 14
       139.1852 | 2
       142.8351 | 4
       145.9016 | 13
       146.8451 | 15
       147.4350 | 2
       150.1188 | 3
       153.1854 | 13
       155.6611 | 14
       156.2520 | 2
       159.0856 | 4
       162.1525 | 13
       162.6709 | 14
       163.2527 | 2
       167.3862 | 3
       170.4531 | 13
       173.6239 | 14
       174.2032 | 2
       177.8033 | 4
       180.8702 | 13
       181.6598 | 14
       182.2535 | 2
       185.5373 | 3
       188.6036 | 13
       189.7250 | 14
       190.3043 | 2
       193.7376 | 3
       196.8046 | 13
       198.0752 | 14
       198.6545 | 2
       202.5381 | 4
       205.6046 | 13
       206.3916 | 15
       206.9713 | 2
       210.1382 | 3
       213.2054 | 13
       213.7521 | 14
       214.3385 | 2
       217.7055 | 4
       220.7723 | 13
       222.2552 | 14
       222.8390 | 2
       226.0725 | 4
       229.1394 | 13
       230.1083 | 14
       230.6899 | 2
       233.9731 | 3
       237.0402 | 13
       238.6440 | 14
       239.2234 | 2
       242.2066 | 4
       245.2733 | 13
       245.7953 | 14
       246.3900 | 2
       249.8572 | 3
       252.9239 | 13
       254.7360 | 14
       255.3239 | 2
       258.8413 | 4
       261.9081 | 13
       263.0563 | 14
       263.6413 | 2
       267.0577 | 3
       270.1247 | 13
       271.6679 | 14
       272.2586 | 2
       276.3420 | 3
       279.4087 | 13
       280.2265 | 14
       280.8086 | 2
       283.5922 | 4
       286.6592 | 13
       287.8721 | 14
       288.4589 | 2
       292.5261 | 4
       295.5932 | 13
       296.8348 | 14
       297.4268 | 2
       301.2264 | 3
       304.2932 | 13
       308.5195 | 14
       309.1106 | 2
       312.7439 | 4
       315.8105 | 13
       317.2911 | 14
       317.8772 | 2
       321.8777 | 3
       324.9446 | 13
       326.1861 | 14
       326.7781 | 2
       329.6612 | 3
       332.7279 | 13
       333.7267 | 14
       334.3115 | 2
       338.2785 | 4
       341.3454 | 13
       341.9836 | 14
       342.5789 | 2
       345.3289 | 3
       348.3954 | 13
       350.3878 | 14
       350.9791 | 2
       354.6959 | 4
       357.7628 | 13
       359.9702 | 14
