Session Marker Log - Subject 030 - PRE Assessment
Date/Time: 2025-07-25 15:46:28
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
       116.0348 | 32
       118.8348 | 48
       121.9018 | 208
       125.0812 | 240
       126.1687 | 32
       129.0354 | 64
       132.1022 | 208
       133.9799 | 224
       135.0688 | 32
       138.6197 | 64
       141.6859 | 208
       143.0513 | 224
       144.1363 | 32
       147.9866 | 48
       151.0536 | 208
       152.0846 | 224
       153.1703 | 32
       156.2537 | 64
       159.3206 | 208
       160.1767 | 224
       161.2703 | 32
       165.0042 | 48
       168.0709 | 208
       169.4369 | 224
       170.5212 | 32
       174.1878 | 48
       177.2544 | 208
       178.0162 | 224
       179.1047 | 32
       181.9052 | 64
       184.9718 | 208
       185.9723 | 224
       187.0551 | 32
       191.0386 | 48
       194.1054 | 208
       194.9869 | 224
       196.0721 | 32
       200.0561 | 64
       203.1226 | 208
       203.8830 | 224
       204.9727 | 32
       207.9732 | 48
       211.0395 | 208
       211.7705 | 224
       212.8567 | 32
       216.3568 | 64
       219.4237 | 208
       220.0943 | 224
       221.1743 | 32
       224.5912 | 64
       227.6571 | 208
       228.3879 | 224
       229.4739 | 32
       232.6751 | 48
       235.7407 | 208
       236.5610 | 224
       237.6410 | 32
       241.1749 | 64
       244.2420 | 208
       245.4875 | 224
       246.5749 | 32
       249.5255 | 48
       252.5918 | 208
       253.4128 | 224
       254.4924 | 32
       258.3089 | 64
       261.3760 | 208
       262.1365 | 224
       263.2256 | 32
       266.2259 | 48
       269.2930 | 208
       270.1483 | 224
       271.2430 | 32
       275.0269 | 64
       278.0931 | 208
       279.9418 | 224
       281.0267 | 32
       284.6436 | 48
       287.7108 | 208
       288.5329 | 224
       289.6271 | 32
       292.8112 | 48
       295.8775 | 208
       296.4872 | 224
       297.5781 | 32
       301.2279 | 64
       304.2946 | 208
       305.0564 | 224
       306.1450 | 32
       309.1784 | 48
       312.2446 | 208
       312.9465 | 224
       314.0288 | 32
       318.1453 | 64
       321.2124 | 208
       322.5798 | 224
       323.6623 | 32
       327.8295 | 64
       330.8960 | 208
       331.6858 | 224
       332.7795 | 32
       335.5636 | 48
       338.6298 | 208
       339.2696 | 224
       340.3632 | 32
       343.4303 | 64
       346.4969 | 208
       347.4999 | 224
       348.5802 | 32
       351.4137 | 48
       354.4803 | 208
       355.3321 | 224
       356.4143 | 32
       359.5810 | 64
       362.6475 | 208
       363.6524 | 224
       364.7479 | 32
       368.8149 | 48
       371.8814 | 208
       372.7042 | 224
       373.7983 | 32
       377.4988 | 48
       380.5655 | 208
       383.2623 | 240
       384.3488 | 32
       388.4825 | 64
       391.5492 | 208
       392.8541 | 224
       393.9493 | 32
       397.4828 | 64
       400.5496 | 208
       401.0993 | 224
       402.1830 | 32
       406.1001 | 48
       409.1665 | 208
       409.8652 | 224
       410.9503 | 32
       414.8337 | 64
       417.9007 | 208
       418.5696 | 224
       419.6507 | 32
       422.7188 | 48
       425.7844 | 208
       426.7560 | 224
       427.8511 | 32
       431.4344 | 48
       434.5013 | 208
       435.1116 | 224
       436.2013 | 32
       439.3019 | 64
       442.3684 | 208
       443.2201 | 224
       444.3020 | 32
       448.2524 | 48
       451.3190 | 208
       452.6524 | 224
       453.7358 | 32
       457.3195 | 64
       460.3865 | 208
       461.2668 | 224
