Session Marker Log - Subject 038 - POST Assessment
Date/Time: 2025-08-15 15:35:58
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        18.9785 | 32
        22.9291 | 48
        25.9960 | 208
        27.1790 | 224
        28.2625 | 32
        32.2962 | 64
        35.3630 | 208
        37.5168 | 240
        38.5968 | 32
        41.4637 | 64
        44.5304 | 208
        45.7420 | 224
        46.8304 | 32
        50.2306 | 48
        53.2973 | 208
        54.5412 | 224
        55.6306 | 32
        59.5646 | 64
        62.6309 | 208
        63.8142 | 224
        64.8978 | 32
        69.0650 | 48
        72.1318 | 208
        73.3739 | 224
        74.4650 | 32
        78.0818 | 48
        81.1488 | 208
        82.3601 | 224
        83.4494 | 32
        87.5488 | 64
        90.6162 | 208
        92.1320 | 224
        93.2160 | 32
        96.6330 | 48
        99.6997 | 208
       100.4603 | 224
       101.5498 | 32
       105.3334 | 64
       108.4004 | 208
       109.7331 | 240
       110.8168 | 32
       114.7504 | 48
       117.8175 | 208
       118.2758 | 224
       119.3676 | 32
       123.0344 | 64
       126.1008 | 208
       127.5551 | 224
       128.6345 | 32
       132.6680 | 64
       135.7353 | 208
       136.7365 | 224
       137.8187 | 32
       141.7185 | 48
       144.7853 | 208
       145.5735 | 224
       146.6690 | 32
       150.5359 | 64
       153.6026 | 208
       154.5735 | 224
       155.6525 | 32
       158.8864 | 48
       161.9531 | 208
       162.6267 | 224
       163.7200 | 32
       166.9701 | 64
       170.0369 | 208
       172.7241 | 224
       173.8035 | 32
       176.9205 | 48
       179.9874 | 208
       181.0173 | 224
       182.1045 | 32
       185.1375 | 64
       188.2043 | 208
       189.4512 | 224
       190.5375 | 32
       193.4379 | 48
       196.5051 | 208
       197.4457 | 224
       198.5382 | 32
       201.9054 | 48
       204.9721 | 208
       205.7625 | 224
       206.8554 | 32
       210.2555 | 64
       213.3221 | 208
       214.5962 | 224
       215.6886 | 32
       219.5896 | 48
       222.6562 | 208
       223.6271 | 224
       224.7064 | 32
       228.5245 | 64
       231.5900 | 208
       232.2593 | 224
       233.3400 | 32
       237.2571 | 64
       240.3234 | 208
       241.2666 | 224
       242.3573 | 32
       246.4738 | 48
       249.5409 | 208
       250.2423 | 224
       251.3245 | 32
       254.4925 | 64
       257.5579 | 208
       258.6495 | 224
       259.7411 | 32
       262.6248 | 48
       265.6915 | 208
       266.5421 | 224
       267.6254 | 32
       270.8258 | 64
       273.8918 | 208
       274.8339 | 224
       275.9260 | 32
       279.1931 | 48
       282.2592 | 208
       282.5659 | 224
       283.6592 | 32
       287.6594 | 48
       290.7264 | 208
       291.5780 | 224
       292.6598 | 32
       295.5101 | 64
       298.5772 | 208
       299.8812 | 224
       300.9604 | 32
       305.0605 | 64
       308.1268 | 208
       309.1574 | 224
       310.2438 | 32
       314.3273 | 48
       317.3942 | 208
       318.4274 | 224
       319.5109 | 32
       323.6280 | 64
       326.6949 | 208
       328.0627 | 224
       329.1448 | 32
       332.3284 | 48
       335.3953 | 208
       336.6691 | 224
       337.7620 | 32
       341.6956 | 48
       344.7626 | 208
       345.5535 | 224
       346.6464 | 32
       349.9130 | 64
       352.9798 | 208
       355.3379 | 224
       356.4296 | 32
       359.7132 | 48
       362.7799 | 208
       363.3899 | 224
       364.4802 | 32
       367.6144 | 64
       370.6804 | 208
       371.5602 | 224
