Session Marker Log - Subject 004 - POST Assessment
Date/Time: 2025-07-08 10:08:43
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        18.2777 | 32
        22.1783 | 48
        25.2451 | 208
        26.3959 | 224
        27.4785 | 32
        30.6449 | 64
        33.7118 | 208
        34.7119 | 224
        35.7956 | 32
        38.6454 | 64
        41.7126 | 208
        42.9544 | 224
        44.0459 | 32
        47.2295 | 48
        50.2964 | 208
        51.1144 | 224
        52.1960 | 32
        55.3302 | 64
        58.3965 | 208
        59.1289 | 224
        60.2133 | 32
        62.9803 | 48
        66.0468 | 208
        67.4369 | 224
        68.5308 | 32
        71.9308 | 48
        74.9974 | 208
        75.9392 | 224
        77.0307 | 32
        80.9480 | 64
        84.0143 | 208
        85.0121 | 224
        86.0984 | 32
        88.9152 | 48
        91.9818 | 208
        92.7418 | 224
        93.8319 | 32
        97.8322 | 64
       100.8988 | 208
       102.2587 | 224
       103.3490 | 32
       106.3993 | 48
       109.4658 | 208
       110.6144 | 224
       111.6997 | 32
       115.5662 | 64
       118.6329 | 208
       119.8432 | 224
       120.9332 | 32
       124.5670 | 64
       127.6334 | 208
       128.8138 | 224
       129.9003 | 32
       133.5173 | 48
       136.5840 | 208
       137.5250 | 224
       138.6178 | 32
       142.6343 | 64
       145.7011 | 208
       146.4906 | 224
       147.5849 | 32
       151.5185 | 48
       154.5849 | 208
       155.5546 | 224
       156.6352 | 32
       159.9695 | 64
       163.0355 | 208
       163.8543 | 224
       164.9356 | 32
       168.1356 | 48
       171.2023 | 208
       172.1416 | 224
       173.2362 | 32
       176.6365 | 64
       179.7030 | 208
       180.5213 | 224
       181.6030 | 32
       184.5198 | 48
       187.5868 | 208
       188.2921 | 224
       189.3867 | 32
       192.8039 | 48
       195.8704 | 208
       196.8096 | 224
       197.9039 | 32
       201.2541 | 64
       204.3209 | 208
       205.1726 | 224
       206.2541 | 32
       209.2716 | 48
       212.3379 | 208
       213.0063 | 224
       214.0882 | 32
       216.9547 | 64
       220.0222 | 208
       220.8122 | 224
       221.9048 | 32
       224.8223 | 64
       227.8893 | 208
       228.5555 | 224
       229.6385 | 32
       233.3724 | 48
       236.4392 | 208
       236.8963 | 224
       237.9890 | 32
       241.4398 | 64
       244.5065 | 208
       245.2325 | 224
       246.3234 | 32
       249.3399 | 48
       252.4073 | 208
       253.2875 | 224
       254.3736 | 32
       257.5567 | 64
       260.6235 | 208
       261.3211 | 224
       262.4069 | 32
       265.3074 | 48
       268.3738 | 208
       269.2237 | 224
       270.3075 | 32
       273.2575 | 48
       276.3248 | 208
       277.1733 | 224
       278.2578 | 32
       281.6913 | 64
       284.7585 | 208
       285.5482 | 224
       286.6417 | 32
       289.4257 | 64
       292.4923 | 208
       294.7882 | 224
       295.8757 | 32
       299.6926 | 48
       302.7595 | 208
       303.7289 | 224
       304.8094 | 32
       308.0434 | 64
       311.1096 | 208
       311.8716 | 224
       312.9596 | 32
       316.6773 | 48
       319.7435 | 208
       320.8017 | 224
       321.8937 | 32
       324.6775 | 48
       327.7438 | 208
       328.8148 | 224
       329.8941 | 32
       333.2948 | 64
       336.3612 | 208
       338.4151 | 224
       339.4946 | 32
       343.1946 | 48
       346.2616 | 208
       347.2916 | 224
       348.3785 | 32
       351.1620 | 64
       354.2291 | 208
       356.7409 | 224
