Session Marker Log - Subject 018 - POST Assessment
Date/Time: 2025-07-11 14:04:31
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        30.5961 | 32
        34.4296 | 48
        37.4965 | 208
        38.1664 | 224
        39.2464 | 32
        42.7306 | 64
        45.7968 | 208
        46.6155 | 224
        47.7134 | 32
        51.8809 | 64
        54.9473 | 208
        55.3446 | 224
        56.4303 | 32
        60.3810 | 48
        63.4477 | 208
        64.2071 | 224
        65.2978 | 32
        68.3147 | 64
        71.3817 | 208
        72.0821 | 224
        73.1818 | 32
        76.4154 | 48
        79.4824 | 208
        80.5769 | 224
        81.6652 | 32
        84.4823 | 48
        87.5488 | 208
        88.5166 | 224
        89.5992 | 32
        92.4157 | 64
        95.4828 | 208
        97.4499 | 224
        98.5497 | 32
       101.2666 | 48
       104.3333 | 208
       105.7296 | 224
       106.8169 | 32
       109.6169 | 64
       112.6837 | 208
       113.8055 | 224
       114.9169 | 32
       118.6673 | 48
       121.7341 | 208
       123.1899 | 224
       124.2841 | 32
       127.7517 | 64
       130.8181 | 208
       131.9429 | 224
       133.0516 | 32
       136.1349 | 64
       139.2020 | 208
       142.1391 | 224
       143.2187 | 32
       146.1354 | 48
       149.2020 | 208
       150.2971 | 224
       151.3856 | 32
       155.2193 | 64
       158.2862 | 208
       159.2882 | 224
       160.3862 | 32
       163.4865 | 48
       166.5530 | 208
       167.5840 | 224
       168.6704 | 32
       171.6034 | 64
       174.6703 | 208
       176.1846 | 224
       177.2872 | 32
       180.2045 | 48
       183.2706 | 208
       184.4529 | 224
       185.5376 | 32
       189.2875 | 64
       192.3549 | 208
       194.1427 | 224
       195.2557 | 32
       198.4383 | 48
       201.5048 | 208
       204.8659 | 224
       205.9553 | 32
       208.8555 | 48
       211.9221 | 208
       212.9546 | 224
       214.0390 | 32
       217.4895 | 64
       220.5561 | 208
       222.0430 | 224
       223.1393 | 32
       226.3567 | 48
       229.4230 | 208
       230.8771 | 224
       231.9569 | 32
       236.1067 | 64
       239.1735 | 208
       240.4780 | 224
       241.5742 | 32
       245.0405 | 64
       248.1072 | 208
       249.8960 | 224
       251.0079 | 32
       254.9078 | 48
       257.9742 | 208
       259.2489 | 224
       260.3413 | 32
       264.0916 | 64
       267.1586 | 208
       268.7937 | 224
       269.8749 | 32
       272.7419 | 48
       275.8087 | 208
       276.9603 | 224
       278.0427 | 32
       280.7925 | 64
       283.8593 | 208
       290.1189 | 224
       291.2268 | 32
       294.6765 | 48
       297.7430 | 208
       298.8663 | 224
       299.9598 | 32
       303.1438 | 48
       306.2104 | 208
       307.0606 | 224
       308.1441 | 32
       311.8772 | 64
       314.9439 | 208
       316.2780 | 224
       317.3774 | 32
       320.9116 | 64
       323.9781 | 208
       326.1268 | 224
       327.2116 | 32
       330.9784 | 48
       334.0451 | 208
       335.5000 | 224
       336.5952 | 32
       340.4955 | 64
       343.5623 | 208
       344.4724 | 224
       345.5795 | 32
       348.9124 | 48
       351.9800 | 208
       353.1912 | 224
       354.2797 | 32
       356.9961 | 48
       360.0631 | 208
       361.0935 | 224
       362.1800 | 32
       366.0636 | 64
       369.1300 | 208
       373.3949 | 224
       374.4974 | 32
       377.3810 | 48
       380.4481 | 208
       382.8397 | 224
       383.9312 | 32
       388.0312 | 64
       391.0979 | 208
       392.1596 | 224
