Session Marker Log - Subject 008 - POST Assessment
Date/Time: 2025-07-09 12:15:34
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        13.8113 | 32
        17.5777 | 48
        20.6446 | 208
        24.1821 | 224
        25.2618 | 32
        28.7951 | 64
        31.8617 | 208
        32.3500 | 224
        33.4453 | 32
        37.3627 | 64
        40.4289 | 208
        41.0382 | 224
        42.1291 | 32
        46.1794 | 48
        49.2462 | 208
        49.9442 | 224
        51.0298 | 32
        54.5798 | 64
        57.6467 | 208
        58.1653 | 224
        59.2466 | 32
        62.7304 | 48
        65.7971 | 208
        69.1521 | 224
        70.2475 | 32
        73.5476 | 48
        76.6140 | 208
        78.1901 | 224
        79.2813 | 32
        83.2654 | 64
        86.3316 | 208
        86.7289 | 224
        87.8148 | 32
        91.7984 | 48
        94.8652 | 208
        95.7158 | 224
        96.7986 | 32
       100.2490 | 64
       103.3156 | 208
       103.7432 | 224
       104.8325 | 32
       108.1993 | 48
       111.2658 | 208
       111.7843 | 224
       112.8661 | 32
       117.0332 | 64
       120.1000 | 208
       120.5578 | 224
       121.6503 | 32
       124.8174 | 64
       127.8836 | 208
       128.7933 | 224
       129.8841 | 32
       133.8843 | 48
       136.9512 | 208
       137.4991 | 224
       138.5839 | 32
       142.2177 | 64
       145.2846 | 208
       145.6802 | 224
       146.7681 | 32
       150.3849 | 48
       153.4520 | 208
       153.7887 | 224
       154.8684 | 32
       158.1355 | 64
       161.2019 | 208
       161.9001 | 224
       162.9853 | 32
       166.0024 | 48
       169.0691 | 208
       169.8308 | 224
       170.9193 | 32
       174.3192 | 64
       177.3860 | 208
       177.9342 | 224
       179.0194 | 32
       182.2033 | 48
       185.2696 | 208
       186.1202 | 224
       187.2034 | 32
       190.1535 | 48
       193.2203 | 208
       193.8284 | 224
       194.9204 | 32
       197.9538 | 64
       201.0211 | 208
       201.4788 | 224
       202.5710 | 32
       206.5213 | 48
       209.5881 | 208
       210.1670 | 224
       211.2548 | 32
       214.2715 | 64
       217.3380 | 208
       217.8873 | 224
       218.9716 | 32
       222.4228 | 64
       225.4889 | 208
       225.8553 | 224
       226.9388 | 32
       229.7558 | 48
       232.8223 | 208
       233.3107 | 224
       234.4060 | 32
       238.1397 | 64
       241.2064 | 208
       241.5751 | 224
       242.6561 | 32
       246.6396 | 48
       249.7064 | 208
       256.0274 | 224
       257.1069 | 32
       260.0575 | 64
       263.1242 | 208
       263.5212 | 240
       264.6077 | 32
       267.5077 | 48
       270.5746 | 208
       271.2748 | 224
       272.3579 | 32
       276.5089 | 48
       279.5748 | 208
       280.2444 | 224
       281.3252 | 32
       284.5587 | 64
       287.6256 | 208
       288.2628 | 224
       289.3421 | 32
       293.0756 | 64
       296.1423 | 208
       296.5406 | 224
       297.6261 | 32
       301.1592 | 48
       304.2263 | 208
       304.8054 | 224
       305.8930 | 32
       308.8432 | 64
       311.9099 | 208
       313.0598 | 224
       314.1432 | 32
       317.4269 | 48
       320.4937 | 208
       324.6339 | 224
       325.7275 | 32
       329.3277 | 48
       332.3942 | 208
       335.5715 | 240
       336.6614 | 32
       340.2281 | 64
       343.2949 | 208
       343.7819 | 224
       344.8619 | 32
       347.9949 | 48
       351.0619 | 208
       352.3940 | 224
       353.4786 | 32
       356.3787 | 64
       359.4457 | 208
       359.8742 | 224
