Session Marker Log - Subject 008 - PRE Assessment
Date/Time: 2025-07-09 11:44:33
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        13.1289 | 32
        16.7456 | 48
        19.8127 | 208
        23.0501 | 224
        24.1293 | 32
        27.6304 | 64
        30.6964 | 208
        34.2944 | 224
        35.3797 | 32
        39.0472 | 64
        42.1135 | 208
        44.8634 | 224
        45.9471 | 32
        48.6983 | 48
        51.7643 | 208
        54.4241 | 224
        55.5144 | 32
        58.9150 | 64
        61.9815 | 208
        64.6697 | 224
        65.7646 | 32
        68.9319 | 48
        71.9985 | 208
        73.9343 | 224
        75.0156 | 32
        78.7662 | 48
        81.8323 | 208
        83.5546 | 224
        84.6491 | 32
        88.1161 | 64
        91.1826 | 208
        92.9081 | 224
        93.9994 | 32
        96.7498 | 48
        99.8168 | 208
       102.4466 | 224
       103.5337 | 32
       106.8340 | 64
       109.9001 | 208
       110.7797 | 224
       111.8676 | 32
       115.0842 | 48
       118.1508 | 208
       119.9637 | 224
       121.0513 | 32
       123.9180 | 64
       126.9851 | 208
       129.7344 | 224
       130.8182 | 32
       134.8517 | 64
       137.9189 | 208
       138.8923 | 224
       139.9851 | 32
       143.1856 | 48
       146.2526 | 208
       147.4038 | 224
       148.4857 | 32
       151.6364 | 64
       154.7026 | 208
       155.4011 | 224
       156.4861 | 32
       159.8363 | 48
       162.9038 | 208
       165.5642 | 224
       166.6535 | 32
       169.4370 | 64
       172.5040 | 208
       173.5038 | 224
       174.5873 | 32
       178.5711 | 48
       181.6378 | 208
       182.6981 | 224
       183.7878 | 32
       186.5378 | 64
       189.6047 | 208
       191.9623 | 224
       193.0551 | 32
       196.7724 | 48
       199.8386 | 208
       200.7497 | 224
       201.8387 | 32
       204.5721 | 48
       207.6393 | 208
       208.5788 | 224
       209.6726 | 32
       212.4060 | 64
       215.4725 | 208
       216.4131 | 224
       217.5059 | 32
       220.2230 | 48
       223.2896 | 208
       225.8005 | 224
       226.8903 | 32
       230.4903 | 64
       233.5570 | 208
       234.4676 | 224
       235.5575 | 32
       238.6076 | 64
       241.6742 | 208
       242.5231 | 224
       243.6074 | 32
       247.5914 | 48
       250.6579 | 208
       251.5973 | 224
       252.6916 | 32
       256.7920 | 64
       259.8583 | 208
       265.9206 | 240
       267.0092 | 32
       271.1259 | 48
       274.1927 | 208
       277.1204 | 224
       278.2094 | 32
       280.9596 | 64
       284.0263 | 208
       284.7882 | 224
       285.8760 | 32
       289.2933 | 48
       292.3602 | 208
       293.1204 | 224
       294.2103 | 32
       297.5608 | 48
       300.6270 | 208
       303.3455 | 224
       304.4274 | 32
       307.1943 | 64
       310.2611 | 208
       310.8204 | 224
       311.9108 | 32
       314.7445 | 64
       317.8115 | 208
       318.4500 | 224
       319.5445 | 32
       322.5453 | 48
       325.6119 | 208
       326.4299 | 224
       327.5118 | 32
       330.3788 | 64
       333.4457 | 208
       337.2248 | 240
       338.3124 | 32
       341.9964 | 48
       345.0627 | 208
       345.9740 | 224
       347.0629 | 32
       350.4304 | 48
       353.4967 | 208
       353.9830 | 224
       355.0632 | 32
       358.2639 | 64
       361.3304 | 208
       361.7598 | 224
       362.8472 | 32
       366.2309 | 48
       369.2970 | 208
       370.6599 | 224
       371.7478 | 32
       375.5979 | 64
       378.6648 | 208
       380.9608 | 224
