Session Marker Log - Subject 021 - PRE Assessment
Date/Time: 2025-07-21 13:23:36
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
        91.0147 | 2
        94.9985 | 3
        98.0656 | 13
       101.3376 | 14
       102.4323 | 2
       105.3492 | 4
       108.4160 | 13
       111.5656 | 14
       112.6499 | 2
       115.4165 | 4
       118.4830 | 13
       122.1169 | 14
       123.1997 | 2
       126.2513 | 3
       129.3173 | 13
       131.8933 | 14
       132.9840 | 2
       136.0009 | 4
       139.0676 | 13
       140.3144 | 15
       141.4013 | 2
       145.5682 | 3
       148.6348 | 13
       150.1509 | 14
       151.2348 | 2
       154.1020 | 3
       157.1688 | 13
       161.4680 | 14
       162.5522 | 2
       165.8522 | 4
       168.9195 | 13
       170.3761 | 14
       171.4690 | 2
       175.5694 | 3
       178.6362 | 13
       180.4916 | 14
       181.5863 | 2
       185.2531 | 4
       188.3201 | 13
       190.9267 | 15
       192.0203 | 2
       195.7376 | 3
       198.8039 | 13
       200.7157 | 14
       201.8043 | 2
       205.1711 | 4
       208.2377 | 13
       209.5708 | 14
       210.6549 | 2
       213.9881 | 4
       217.0550 | 13
       218.5730 | 14
       219.6553 | 2
       222.3549 | 3
       225.4222 | 13
       228.0570 | 14
       229.1389 | 2
       232.8395 | 4
       235.9059 | 13
       237.5414 | 14
       238.6225 | 2
       241.4732 | 3
       244.5398 | 13
       246.7210 | 14
       247.8067 | 2
       251.3571 | 4
       254.4240 | 13
       259.2047 | 14
       260.2906 | 2
       264.2575 | 3
       267.3242 | 13
       269.7188 | 14
       270.8078 | 2
       273.6586 | 4
       276.7247 | 13
       277.4859 | 14
       278.5747 | 2
       282.5252 | 3
       285.5918 | 13
       287.0463 | 14
       288.1422 | 2
       291.4423 | 3
       294.5088 | 13
       297.9332 | 14
       299.0260 | 2
       302.2928 | 4
       305.3594 | 13
       307.2065 | 14
       308.2931 | 2
       312.3270 | 3
       315.3933 | 13
       316.8503 | 14
       317.9436 | 2
       321.5776 | 4
       324.6440 | 13
       326.1916 | 15
       327.2771 | 2
       331.0449 | 4
       334.1113 | 13
       336.4761 | 14
       337.5615 | 2
       340.5446 | 3
       343.6120 | 13
       344.8900 | 14
       345.9787 | 2
       349.1950 | 4
       352.2619 | 13
       353.3539 | 14
       354.4455 | 2
       358.1124 | 3
       361.1789 | 13
       362.7245 | 14
       363.8126 | 2
       367.8462 | 4
       370.9132 | 13
       371.9154 | 15
       372.9961 | 2
       375.7637 | 3
       378.8301 | 13
       380.2466 | 14
       381.3302 | 2
       385.1145 | 3
       388.1807 | 13
       389.6050 | 14
       390.6972 | 2
       393.8146 | 4
       396.8812 | 13
       398.2156 | 14
       399.2977 | 2
       403.0815 | 4
       406.1480 | 13
       408.7788 | 14
       409.8649 | 2
       412.5481 | 3
       415.6156 | 13
       418.8254 | 14
       419.9154 | 2
       423.3322 | 4
       426.3991 | 13
       429.2782 | 14
       430.3664 | 2
       434.2833 | 3
       437.3497 | 13
       438.9867 | 14
       440.0667 | 2
       442.8171 | 3
       445.8838 | 13
       448.3067 | 14
       449.4007 | 2
       452.6337 | 4
       455.7010 | 13
       457.8206 | 14
       458.9008 | 2
       462.0349 | 3
       465.1011 | 13
       467.2889 | 14
       468.3686 | 2
       471.8849 | 4
       474.9518 | 13
       476.7110 | 14
