Session Marker Log - Subject 028 - PRE Assessment
Date/Time: 2025-07-24 11:38:04
======================================================================

Relative Time (s) | Marker
--------------------------------------------------
       119.8510 | 32
       123.4853 | 48
       126.5520 | 208
       129.6380 | 240
       130.7185 | 32
       134.1858 | 64
       137.2527 | 208
       140.2512 | 224
       141.3354 | 32
       144.0195 | 64
       147.0863 | 208
       148.1214 | 240
       149.2027 | 32
       153.0364 | 48
       156.1033 | 208
       157.7416 | 224
       158.8370 | 32
       162.8372 | 64
       165.9035 | 208
       168.0257 | 224
       169.1204 | 32
       172.4383 | 48
       175.5042 | 208
       176.8110 | 224
       177.9045 | 32
       181.0883 | 48
       184.1547 | 208
       184.9755 | 224
       186.0547 | 32
       189.7052 | 64
       192.7719 | 208
       194.9818 | 224
       196.0722 | 32
       200.2224 | 48
       203.2890 | 208
       204.2317 | 224
       205.3222 | 32
       208.4728 | 64
       211.5394 | 208
       212.3929 | 224
       213.4729 | 32
       216.6397 | 48
       219.7066 | 208
       221.1626 | 224
       222.2569 | 32
       225.4735 | 64
       228.5405 | 208
       229.2415 | 224
       230.3237 | 32
       233.4742 | 64
       236.5404 | 208
       237.2390 | 224
       238.3241 | 32
       241.1247 | 48
       244.1912 | 208
       245.3757 | 224
       246.4579 | 32
       249.5245 | 64
       252.5917 | 208
       253.5330 | 240
       254.6252 | 32
       258.1921 | 48
       261.2588 | 208
       262.1103 | 224
       263.1923 | 32
       267.2428 | 64
       270.3091 | 208
       272.7037 | 224
       273.8097 | 32
       277.2430 | 48
       280.3101 | 208
       281.1929 | 224
       282.2767 | 32
       285.1936 | 64
       288.2603 | 208
       289.2357 | 224
       290.3264 | 32
       293.5606 | 48
       296.6273 | 208
       297.3293 | 224
       298.4110 | 32
       302.4607 | 48
       305.5280 | 208
       306.4414 | 224
       307.5279 | 32
       311.1278 | 64
       314.1946 | 208
       315.0481 | 224
       316.1283 | 32
       320.1118 | 48
       323.1788 | 208
       324.5169 | 224
       325.6121 | 32
       329.1459 | 64
       332.2123 | 208
       333.3049 | 224
       334.3958 | 32
       337.5295 | 64
       340.5961 | 208
       342.8368 | 224
       343.9299 | 32
       346.8967 | 48
       349.9634 | 208
       351.6302 | 224
       352.7138 | 32
       355.8480 | 64
       358.9137 | 208
       359.7356 | 224
       360.8303 | 32
       363.5807 | 48
       366.6480 | 208
       368.0132 | 224
       369.0976 | 32
       372.0481 | 64
       375.1146 | 208
       375.9356 | 224
       377.0147 | 32
       380.2146 | 48
       383.2816 | 208
       384.0415 | 224
       385.1319 | 32
       388.0320 | 48
       391.0989 | 208
       392.7073 | 224
       393.7994 | 32
       396.6660 | 64
       399.7329 | 208
       400.9491 | 224
       402.0326 | 32
       404.7665 | 64
       407.8332 | 208
       408.4121 | 224
       409.4994 | 32
       412.4664 | 48
       415.5336 | 208
       416.3540 | 224
       417.4338 | 32
       420.1671 | 64
       423.2341 | 208
       424.6892 | 224
       425.7841 | 32
       429.5845 | 48
       432.6507 | 208
       433.2304 | 224
       434.3177 | 32
       437.3845 | 48
       440.4511 | 208
       441.1211 | 224
       442.2015 | 32
       445.5850 | 64
       448.6516 | 208
       449.4416 | 240
       450.5352 | 32
       454.2855 | 48
       457.3520 | 208
       458.1412 | 224
       459.2361 | 32
       462.1693 | 64
       465.2360 | 208
       465.6331 | 240
